species;canopy_height;leaf_mass;leaf_size;s_mass
Abies_alba;50;5,395;41,25;79,2
Aconitum_firmum;0,725;299,55;5535,625;3,802133333
Adenostyles_alliariae;0,7;2789,375;74770,5;NA
Agrostis_rupestris;0,035;NA;NA;0,116
Anthoxanthum_alpinum;0,093133333;11,57272727;173,1897619;0,383076923
Athyrium_distentifolium;0,53;403,78;7951,335;NA
Avenula_versicolor;0,14;NA;NA;NA
Calamagrostis_villosa;0,35;44,505;1071,5;0,1025
Caltha_palustris;0,2625;1004,54014;19640;1,025254545
Campanula_alpina;0,125;NA;NA;NA
Campanula_polymorpha;NA;NA;NA;NA
Cardamine_amara;0,241666667;48,75164374;2515,333333;0,258
Cardaminopsis_arenosa_subsp._borbasii;NA;NA;NA;NA
Cardaminopsis_neglecta;NA;NA;NA;NA
Carex_atrata;0,09;23,63333333;475,7666667;0,621571429
Carex_canescens;0,325;15,24365976;430,375;0,359333333
Carex_lachenalii;NA;NA;NA;0,3796
Carex_nigra;0,11;16,672;159,1766667;0,73964
Carex_sempervirens;0,15;NA;NA;0,95
Cerastium_cerastoides;0,081666667;0,548;14,1725;0,15288
Cerastium_tatrae;NA;NA;NA;NA
Cochlearia_tatrae;NA;NA;NA;NA
Deschampsia_caespitosa;0,4325;32,4951702;342,3339583;0,211112281
Deschampsia_flexuosa;0,075;2,9155;40,575;0,311700901
Diphasiastrum_alpinum;0,048333333;12,955;62,5;0
Doronicum_clusii;NA;NA;NA;0,7712
Empetrum_nigrum_subsp._hermaphroditum;NA;NA;NA;NA
Epilobium_anagallidifolium;0,05875;1,053333333;23,782;0,06190625
Eriophorum_vaginatum;0,425;48,36548673;215;0,866266667
Festuca_airoides;0,045;NA;NA;0,438
Festuca_picta;0,05;NA;NA;NA
Gentiana_frigida;NA;NA;NA;NA
Gentiana_punctata;0,375;NA;NA;0,657
Geum_montanum;0,14;NA;NA;1,762
Geum_reptans;0,075;NA;NA;0,849666667
Gnaphalium_supinum;0,033333333;0,768666667;17,05393939;0,083333333
Hieracium_alpinum;0,1;NA;NA;1,014
Homogyne_alpina;0,0475;40,745;721,75;0,791114815
Huperzia_selago;0,125;0,505;7,1;0
Juncus_filiformis;0,3;58,87;612,5;0,02694
Juncus_trifidus;0,148333333;11,938;150,9825;0,133427778
Juniperus_communis_subsp._alpina;NA;NA;NA;NA
Leucanthemopsis_alpina;0,035;NA;NA;NA
Ligusticum_mutellina;0,27;81,03;2646,2;NA
Lloydia_serotina;0,085;NA;NA;NA
Luzula_alpinopilosa;0,2;NA;NA;0,267333333
Nardus_stricta;0,12;13,61826651;94,90958333;0,357236111
Oreochloa_disticha;0,115;NA;NA;NA
Oxyria_digyna;0,1;8,65;NA;0,7224
Pedicularis_oederi;0,06;14,22;226,913;0,960723404
Phleum_alpinum;0,071666667;19,9125;242,632;0,3849
Picea_abies;50;NA;NA;6,663666667
Pinus_mugo;NA;NA;NA;NA
Poa_alpina;0,1025;7,05;122,92;0,431111111
Poa_laxa;NA;NA;NA;NA
Polygonum_bistorta;0,383333333;556,2365039;18021;5,479
Polygonum_viviparum;0,0775;12,94947368;273,6239189;1,828461538
Potentilla_aurea;0,075;58,05;1012,5;NA
Primula_minima;0,025;NA;NA;0,116
Ranunculus_alpestris;0,065;NA;NA;NA
Ranunculus_glacialis;0,07;NA;NA;0,35
Ranunculus_pseudomontanus;NA;NA;NA;NA
Salix_herbacea;0,045;8,605384615;111,8726923;0,197461538
Salix_retusa;0,2;NA;NA;NA
Salix_silesiaca;NA;NA;NA;NA
Saxifraga_androsacea;0,02;NA;NA;NA
Saxifraga_bryoides;0,02;NA;NA;0,032
Saxifraga_carpatica;NA;NA;NA;NA
Saxifraga_exarata_subsp._moschata;NA;NA;NA;NA
Saxifraga_oppositifolia;0,14;NA;NA;0,111777778
Saxifraga_wahlenbergii;NA;NA;NA;NA
Sedum_alpestre;0,055;NA;NA;NA
Sedum_atratum;0,055;NA;NA;NA
Silene_acaulis;0,026;0,471111111;8,5525;0,309808791
Solidago_virgaurea_subsp._minuta;NA;NA;NA;NA
Soldalella_carpatica;NA;NA;NA;NA
Swertia_perennis;0,26;NA;NA;0,361
Taraxacum_officinale;NA;NA;NA;0,5316
Vaccinium_myrtillus;0,3135;4,044545455;72,30275862;40,80735556
Vacciunium_uliginosum_subsp._microphyllum;NA;NA;NA;NA
Vaccinium_vitis_idaea;0,134285714;6,934117647;59,63606061;23,11978333
Veratrum_lobelianum;NA;NA;NA;NA
Veronica_alpina;0,073666667;2,021666667;51,77222222;0,08275
Viola_biflora;0,115;2,88;140,25;0,74
