"station";"date";"temp";"day";"month";"year"
"1";"Kasprowy Wierch";1966-01-01;-7;1;1;1966
"2";"Kasprowy Wierch";1966-01-02;-6.1;2;1;1966
"3";"Kasprowy Wierch";1966-01-03;-7.4;3;1;1966
"4";"Kasprowy Wierch";1966-01-04;-12;4;1;1966
"5";"Kasprowy Wierch";1966-01-05;-19;5;1;1966
"6";"Kasprowy Wierch";1966-01-06;-20.2;6;1;1966
"7";"Kasprowy Wierch";1966-01-07;-17.2;7;1;1966
"8";"Kasprowy Wierch";1966-01-08;-13.9;8;1;1966
"9";"Kasprowy Wierch";1966-01-09;-15.9;9;1;1966
"10";"Kasprowy Wierch";1966-01-10;-16.4;10;1;1966
"11";"Kasprowy Wierch";1966-01-11;-17.3;11;1;1966
"12";"Kasprowy Wierch";1966-01-12;-12;12;1;1966
"13";"Kasprowy Wierch";1966-01-13;-15.8;13;1;1966
"14";"Kasprowy Wierch";1966-01-14;-17.2;14;1;1966
"15";"Kasprowy Wierch";1966-01-15;-15.3;15;1;1966
"16";"Kasprowy Wierch";1966-01-16;-13.3;16;1;1966
"17";"Kasprowy Wierch";1966-01-17;-11.2;17;1;1966
"18";"Kasprowy Wierch";1966-01-18;-11.5;18;1;1966
"19";"Kasprowy Wierch";1966-01-19;-7.6;19;1;1966
"20";"Kasprowy Wierch";1966-01-20;-8.6;20;1;1966
"21";"Kasprowy Wierch";1966-01-21;-7.6;21;1;1966
"22";"Kasprowy Wierch";1966-01-22;-6.8;22;1;1966
"23";"Kasprowy Wierch";1966-01-23;-5.9;23;1;1966
"24";"Kasprowy Wierch";1966-01-24;-8.1;24;1;1966
"25";"Kasprowy Wierch";1966-01-25;-10.6;25;1;1966
"26";"Kasprowy Wierch";1966-01-26;-6.2;26;1;1966
"27";"Kasprowy Wierch";1966-01-27;-7.7;27;1;1966
"28";"Kasprowy Wierch";1966-01-28;-6.8;28;1;1966
"29";"Kasprowy Wierch";1966-01-29;-4;29;1;1966
"30";"Kasprowy Wierch";1966-01-30;1;30;1;1966
"31";"Kasprowy Wierch";1966-01-31;0.8;31;1;1966
"32";"Kasprowy Wierch";1966-02-01;-3.8;1;2;1966
"33";"Kasprowy Wierch";1966-02-02;-9;2;2;1966
"34";"Kasprowy Wierch";1966-02-03;-5.4;3;2;1966
"35";"Kasprowy Wierch";1966-02-04;-9;4;2;1966
"36";"Kasprowy Wierch";1966-02-05;-5.9;5;2;1966
"37";"Kasprowy Wierch";1966-02-06;0.2;6;2;1966
"38";"Kasprowy Wierch";1966-02-07;-3.2;7;2;1966
