Raptor;Size
Control;51,3252793
Control;49,47402785
Control;46,29724698
Control;51,6803051
Control;51,31673914
Control;51,63682671
Control;46,97352905
Control;50,65964059
Control;48,86590558
Control;45,41872967
Control;50,49612481
Control;50,48903985
Control;47,56045781
Control;48,89317678
Control;52,28830231
Control;52,44232069
Control;54,2440297
Control;49,97467057
Control;49,99925876
Control;52,99754902
Control;50,88476554
Control;50,54758402
Control;49,22431925
Control;51,17187938
Control;48,94224402
Control;49,48110144
Control;50,938835
Control;48,02416824
Control;49,15816488
Control;50,59333388
Control;49,50868641
Control;50,18687842
Control;51,84496002
Control;48,85681973
Control;52,3691473
Control;49,19923084
Control;48,88883394
Control;48,53047939
Control;45,57108822
Control;52,5967347
Control;50,14184025
Control;49,52037342
Control;50,21982487
Control;49,34570496
Control;51,18076514
Control;48,55489932
Control;53,24805114
Control;47,70601789
Control;47,51241376
Control;48,87425929
Chaoborus;50,97342002
Chaoborus;51,72245257
Chaoborus;52,80622465
Chaoborus;51,94317784
Chaoborus;48,85443833
Chaoborus;52,02882495
Chaoborus;52,12821908
Chaoborus;47,9865803
Chaoborus;52,92525931
Chaoborus;51,47203912
Chaoborus;53,87153853
Chaoborus;50,45789114
Chaoborus;51,40672603
Chaoborus;47,3218761
Chaoborus;52,9919662
Chaoborus;50,97950454
Chaoborus;51,29561988
Chaoborus;52,23880454
Chaoborus;53,49550794
Chaoborus;51,4476351
Chaoborus;50,30127615
Chaoborus;49,64533493
Chaoborus;51,48812353
Chaoborus;51,18937953
Chaoborus;48,93827556
Chaoborus;48,99773377
Chaoborus;51,88526576
Chaoborus;54,23763743
Chaoborus;49,45123739
Chaoborus;50,8650992
Chaoborus;51,71067461
Chaoborus;49,12629994
Chaoborus;49,10467671
Chaoborus;56,55039151
Chaoborus;48,6656909
Chaoborus;49,24742417
Chaoborus;50,95163762
Chaoborus;54,99893906
Chaoborus;51,00464752
Chaoborus;52,79750259
Chaoborus;49,91848574
Chaoborus;53,5612735
Chaoborus;51,15397745
Chaoborus;47,80308974
Chaoborus;48,18657818
Chaoborus;50,99291958
Chaoborus;53,01448984
Chaoborus;49,41518502
Chaoborus;51,04582262
Chaoborus;50,84653641
Fish;48,33001618
Fish;48,23373025
Fish;49,08319148
Fish;49,71485147
Fish;51,10278358
Fish;45,64874849
Fish;51,2598897
Fish;51,0723337
Fish;48,74295406
Fish;49,18915671
Fish;50,1709335
Fish;43,25810529
Fish;48,0096876
Fish;46,74219759
Fish;50,2342025
Fish;48,74155799
Fish;50,8624587
Fish;44,7608452
Fish;48,35610049
Fish;50,43313628
Fish;48,5019698
Fish;45,84480827
Fish;47,59099717
Fish;50,37636562
Fish;48,97752184
Fish;49,91423544
Fish;47,57413513
Fish;45,81096597
Fish;48,45385071
Fish;52,33933713
Fish;50,60598574
Fish;46,28657713
Fish;51,89290256
Fish;47,3599082
Fish;47,78131348
Fish;47,03056198
Fish;52,40316546
Fish;54,12489351
Fish;47,13113845
Fish;47,87040985
Fish;45,96402483
Fish;50,36147946
Fish;48,62655238
Fish;48,26433247
Fish;48,41296664
Fish;44,49272616
Fish;46,83030489
Fish;47,82200655
Fish;50,53681185
Fish;49,3159812
