Growth;Food;Visibility
495;mysids;turbid
501;mysids;turbid
483;mysids;turbid
490;mysids;turbid
482;mysids;turbid
462;mysids;turbid
497;mysids;turbid
498;mysids;turbid
501;mysids;turbid
491;mysids;turbid
504;mysids;clear
528;mysids;clear
509;mysids;clear
511;mysids;clear
525;mysids;clear
514;mysids;clear
526;mysids;clear
518;mysids;clear
504;mysids;clear
505;mysids;clear
527;pellets;turbid
526;pellets;turbid
519;pellets;turbid
525;pellets;turbid
541;pellets;turbid
501;pellets;turbid
530;pellets;turbid
537;pellets;turbid
514;pellets;turbid
540;pellets;turbid
518;pellets;clear
525;pellets;clear
527;pellets;clear
532;pellets;clear
526;pellets;clear
532;pellets;clear
517;pellets;clear
538;pellets;clear
515;pellets;clear
548;pellets;clear
