time;Rich;Shan
1;hist;28;3.24523247818091
2;new;40;3.58933890591381
3;hist;33;3.40454777618591
4;new;42;3.6338772419409
5;hist;32;3.39439811299395
6;new;43;3.64554002866192
7;hist;36;3.48670873350527
8;new;40;3.60698831388261
9;hist;36;3.49983124537298
10;new;41;3.61538563823315
11;hist;40;3.60631968895443
12;new;44;3.67874279395452
13;hist;43;3.6631264848856
14;new;35;3.46245468663212
15;hist;30;3.3177507440171
16;new;46;3.73075231815262
17;hist;35;3.46613045215154
18;new;37;3.50476457135352
19;hist;38;3.55172592410208
20;new;48;3.76270297542217
21;hist;32;3.37639988154931
22;new;42;3.63008126810233
23;hist;26;3.17482725785174
24;new;46;3.72088958318341
25;hist;34;3.42654895836862
26;new;45;3.72645107671477
27;hist;39;3.58435573726519
28;new;51;3.82717011439147
29;hist;37;3.53075470442614
30;new;38;3.55750479958688
31;hist;40;3.59073579364314
32;new;35;3.46784470761351
33;hist;37;3.51073323377805
34;new;44;3.70537150391259
35;hist;37;3.53065654578639
36;new;51;3.83500303267046
37;hist;30;3.32224198601733
38;new;29;3.28219034061232
39;hist;30;3.3177507440171
40;new;41;3.62289834322281
41;hist;28;3.22293309694697
42;new;39;3.5777347251775
43;hist;35;3.47437912784108
44;new;46;3.75360792041559
45;hist;37;3.51340124671296
46;new;54;3.8987809797699
47;hist;28;3.24507545295286
48;new;43;3.68414266795733
49;hist;27;3.18600897237352
50;new;14;2.57022312060239
51;hist;26;3.17663339502939
52;new;42;3.64945584839034
53;hist;42;3.66101464909398
54;new;44;3.69409832892321
55;hist;29;3.27591327373435
56;new;47;3.76237358961774
57;hist;24;3.09235147676256
58;new;42;3.63892188652114
59;hist;34;3.43401746460193
60;new;51;3.82213621010483
61;hist;26;3.16443281693963
62;new;43;3.6708112252051
63;hist;40;3.59081527562471
64;new;43;3.66372113983132
65;hist;35;3.48484528510949
66;new;46;3.73075231815262
67;hist;29;3.28148609761774
68;new;44;3.69278815419936
69;hist;29;3.28148609761774
70;new;33;3.38098666482736
71;hist;14;2.53502516191076
72;new;11;2.33867217029062
73;hist;19;2.83054759298332
74;new;33;3.38622022248721
75;hist;33;3.42202573492654
76;new;45;3.68788037673392
77;hist;35;3.44614452914183
78;new;51;3.82367771065835
79;hist;27;3.19669540981039
80;new;45;3.71738543264131
81;hist;28;3.23819663049832
82;new;37;3.51535431628593
83;hist;26;3.16443281693963
84;new;39;3.57311026696042
85;hist;34;3.43401746460193
86;new;48;3.76201075996935
87;hist;29;3.25944042131821
88;new;49;3.8002567719856
89;hist;26;3.14726603502763
90;new;36;3.46982976112577
91;hist;26;3.14726603502763
92;new;30;3.29683561051246
93;hist;19;2.84056463487507
94;new;25;3.08201828733337
95;hist;8;1.95125950414396
96;new;26;3.16394184753761
97;hist;19;2.85800623966723
98;new;35;3.45225416440363
99;hist;20;2.89874553958634
100;new;43;3.6562393846076
101;hist;27;3.21017629687406
102;new;46;3.72656059822426
