area;continent;country;plants;ants;amphibians;reptiles;fish;birds;mammals;spider;area;mainl;popdens;GDP;MAT;MAP;N;E
Alberta;America_N;Canada;360;NA;NA;NA;6;4;8;4;654935.7148;MAINL;4.595950804;49837;3.259668268;450.8046195;55.2010092;-114.4701947
Afghanistan;Asia_Temp;Afghanistan;NA;2;NA;NA;13;0;3;NA;641916.446;MAINL;37.09699561;561.2;116.2251804;312.9172119;33.83890296;66.02653864
Buenos_Aires;America_S;Argentina;413;1;1;2;4;8;14;3;306185.5494;MAINL;46.49577359;8458;150.3885113;810.9132973;-36.67974516;-60.55879053
Cordoba;America_S;Argentina;60;NA;0;1;0;1;10;2;99206.86875;MAINL;10.13606444;4259;218.4316989;937.1404883;-26.39787474;-60.75863616
Chaco;America_S;Argentina;100;1;0;0;0;1;10;2;88614.15073;MAINL;10.44098579;4467;207.1384337;1291.893573;-28.76462557;-57.79185251
Corrientes;America_S;Argentina;195;1;1;0;4;1;11;2;167772.2859;MAINL;18.64145262;9314.2;172.4920704;739.0012823;-32.09504217;-63.771565
Argentina_Distrito_Federal;America_S;Argentina;101;NA;1;2;0;8;8;1;179.8676027;MAINL;14691.56225;28358.07;167.7086614;1036.893701;-34.6178664;-58.44990504
Entre_Rios;America_S;Argentina;199;1;0;0;1;1;10;NA;78071.66115;MAINL;15.23295894;6187;182.0840917;1059.31227;-32.04369456;-59.20346947
Formosa;America_S;Argentina;43;NA;0;0;0;1;9;1;76151.83672;MAINL;6.49928736;3704;225.71936;934.4692529;-24.90209428;-59.93084066
La_Pampa;America_S;Argentina;177;NA;0;0;4;1;11;NA;142702.8999;MAINL;2.135750949;10875;152.3654758;448.1096835;-37.13294383;-65.44555016
Misiones;America_S;Argentina;78;1;1;1;0;2;8;4;30127.81537;MAINL;33.81628055;4370.17;198.3498757;1721.617699;-26.86693413;-54.64789239
Santa_Fe;America_S;Argentina;111;1;0;1;0;1;12;NA;133723.9573;MAINL;22.88824727;NA;189.2358474;970.4917975;-30.69496137;-60.94508102
Chubut;America_S;Argentina;165;NA;0;0;5;1;12;NA;221716.6516;MAINL;1.870970694;16100;99.61283611;239.2092386;-43.79850246;-68.49107605
Neuquen;America_S;Argentina;186;NA;0;0;4;7;15;NA;93585.46868;MAINL;3.686918749;19853;102.2256938;431.471343;-38.64072006;-70.12494553
Rio_Negro;America_S;Argentina;220;NA;0;0;5;3;13;2;202969.896;MAINL;3.388051538;8349;120.5982947;268.6263646;-40.39982501;-67.23682833
Santa_Cruz;America_S;Argentina;129;NA;0;0;4;1;12;NA;238779.053;MAINL;0.760155346;26257.32;78.47137133;230.3743923;-48.79279354;-69.88964308
