Acer platanoides;Achillea millefolium;Aegopodium podagraria;Agrostis canina;Agrostis capillaris;Agrostis stolonifera;Ajuga reptans;Alopecurus pratensis;Anemone nemorosa;Anthoxanthum odoratum;Anthriscus sylvestris;Arctium tomentosum;Athyrium filix-femina;Atriplex patula;Betula sp.;Bidens sp.;Bidens tripartita;Brachypodium sylvaticum;Briza media;Callitryche verna;Capsella bursa-pastoris;Cardamine flexuosa;Cardamine sp.;Cardamine impatiens;Cardaminopsis arenosa;Carex caespitoza;Carex hirta;Carex pallescens;Carex pilosa;Carex remota;Carex sp.;Carex sylvatica;Carpinus betulus;Cerastium holosteoides;Chenopodium album;Chrysosplenium alternifolium;Circaea intermedia;Circaea lutetiana;Cirsium arvense;Clinopodium vulgare;Conyza canadensis;Convallaria majalis;Corylus avellana;Dactylis glomerata;Deschampsia caespitoza;Dryopteris austriaca;Dryopteris carthusiana;Dryopteris filix-mas;Echinochloa crus-galli;Elsholtzia ciliata;Epilobium obscurum;Equisetum pratense;Equisetum sylvaticum;Fallopia convolvulus;Fallopia dumetorum;Festuca gigantea;Festuca pratensis;Fraxinus excelsior;Galeobdolon luteum;Galeopsis bifida;Galeopsis ladanum;Galeopsis pubescens;Galeopsis sp.;Galeopsis speciosa;Galinsoga ciliata;Galium odoratum;Galium palustre;Geranium robertianum;Geum urbanum;Glechoma hederacea;Hepatica nobilis;Holcus lanatus;Hypericum perforatum;Impatiens noli-tangere;Juncus articulatus;Juncus bufonius;Juncus conglomeratus;Juncus effusus;Juncus sp.;Juncus tenuis;Lamium sp. ;Lapsana communis;Lathyrus pratensis;Lathyrus vernus;Leucanthemum vulgare;Lupinus polyphyllus;Luzula pilosa;Lychnis flos-cuculi;Lycopus europaeus;Lysimachia vulgaris;Lythrum salicaria;Maianthemum bifolium;Malus sp.;Matricaria chamomilla;Medicago lupulina;Melica nutans;Millium effusum;Moehringia trinervia;Mycelis muralis;Myosotis palustris;Oxalis acetosella;Paris quadrifolia;Phalaris arundinacea;Phleum pratense;Plantago lanceolata;Plantago major;Poa angustifolia;Poa annua;Poa compressa;Poa palustris;Poa subcaerulea;Poa trivialis;Polygonum hydropiper;Polygonum mite;Potentilla argentea;Potentilla norvegica;Prunella vulgaris;Quercus robur;Ranunculus acris;Ranunculus cassubicus;Ranunculus flammula;Ranunculus lanuginosus;Ranunculus repens;Ranunculus sp.;Rubus idaeus;Rubus saxatilis;Rumex acetosa;Rumex acetosella;Rumex crispus;Rumex obtusifolius;Scrophularia nodosa;Sisymbrium officinale;Solanum nigrum;Sorbus aucuparia;Stachys sylvatica;Stellaria graminea;Stellaria holostea;Stellaria media;Stellaria nemorum;Taraxacum officinale;Tilia cordata;Trifolium pratense;Trifolium repens;Typha angustifolia;Urtica dioica;Vaccinium myrtillus;Veronica chamaedrys;Veronica serpyllifolia;Veronica scutellata;Veronica officinalis;Vicia cracca;Vicia sp.;Vicia tetrasperma;Viola reichenbachiana/V. riviniana
Bank697S0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0
Bank697S1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1
Bank697S5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Bank422S0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;0
Bank422S1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0
Bank422S5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Runo697S0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1
Runo697S1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1
Runo697S5;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
Runo422S0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
