Car-fir1;Car-fir2;Car-fir3;Car-fir4;Car-fir5;Car-fir6;Car-fir7;Car-fir8;Car-fir9;Car-fir10;Fes-ame1;Fes-ame2;Fes-ame3;Fes-ame4;Fes-ame5;Fes-ame6;Fes-ame7;Fes-ame8;Fes-var-cal1;Fes-var-cal2;Fes-var-cal3;Fes-var-cal4;Fes-var-cal5;Fes-var-cal6;Das-dry1;Das-dry2;Das-dry3;Das-dry4
spec1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec2;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2
spec5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
spec8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;3;2;0;3;0
spec12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
spec13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec14;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;3;2;3;3
spec15;1;0;0;0;2;0;1;3;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
spec16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3
spec17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec19;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
spec20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0
spec21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;2;0;0;0;2;0;0
spec22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec24;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
spec26;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec27;3;1;0;2;1;2;0;0;0;0;0;2;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0
spec28;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;3;3;0;0;0;0;0;0;0;0;0;0
spec29;3;3;0;3;0;2;1;2;3;2;1;2;0;3;0;2;1;3;0;0;0;0;0;0;0;0;0;0
spec30;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spec31;4;4;4;2;3;3;1;3;4;3;3;3;3;0;3;0;3;0;3;2;3;3;0;0;0;3;0;3
