SummerTemp,WinterTemp,Salinity
V14-61,2,0,33.70000076
V17-196,5,-1,33.5
V18-110,5.5,1,34
V16-227,7,0.5,33
V14-47,7,2,34
V23-22,10.5,0.5,34.70000076
V2-12,11,1,33.5
V23-29,10,6,35
V12-43,13,5,34
R9-7,12,7.5,35.20000076
A157-3,14,7.5,35
V23-81,14.5,9,35.5
V23-82,15,10,35.5
V12-53,14.5,11,34.70000076
V23-83,16,11,35.5
V12-56,18,13,35
A152-84,20,13.5,36
V16-50,18,15.5,35.5
V22-122,19,15,35
V16-41,18.5,17,35.70000076
V4-32,21.5,16,36.5
V12-66,21,16.5,35.70000076
V19-245,21,16.70000076,35.70000076
V4-8,24,16,36.5
A180-15,24,16,36.20000076
V18-34,23,18,36
V20-213,24,18,36
V19-222,23,19,35.70000076
A180-39,23,19,37
V16-189,24,19,36.5
V12-18,25,18.5,36.20000076
V7-67,26,18,36.5
V17-165,26,19,36.70000076
V19-310,26,19,36.70000076
V16-190,25,20,36.5
A153-154,26,20.5,37
V19-308,26,20.5,37
V22-172,24.5,22,36.70000076
V10-98,27,20,36.70000076
V22-219,26.20000076,21,37.20000076
V16-33,25,22.5,37
V22-204,26.5,21.5,36
V20-167,26.20000076,22,35.20000076
V10-89,26,22.5,37.20000076
V12-79,26,23,35.70000076
V19-216,27,22.5,35.20000076
V14-90,27,23.5,35
A180-72,27.5,24,35.70000076
V16-21,27,24.5,36.5
A180-76,27,25,35.70000076
V15-164,27,25,37
A180-78,27,25.5,35.70000076
V14-5,27,26,36
V3-128,29,24.5,36.20000076
A179-13,28.5,25,36.5
V9-31,27.5,26,35
V20-230,27.5,26,36.5
V20-7,27.5,26,35
V20-234,27,26.5,35.20000076
V18-21,27,26.5,35.70000076
V12-122,28,26.5,36
