O.univ,G.cglob,G.ruber,G.tenel,G.saccu,G.rubes,G.pac L,G.pac R,G.bullo,G.falco,G.calid,G.aequi,G.gluti,G.duter,G.infla,G.trn L,G.trn R,G.crasf,G.scitu,G.mentu,P.obliq,C.nitid
V14-61,0,0,0,0,0,0,98.97000122,0.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V17-196,0,0,0,0,0,0,98.12999725,0.939999998,0.469999999,0,0,0,0.469999999,0,0,0,0,0,0,0,0,0
V18-110,0,0,0,0,0,0,96.29000092,1.710000038,1,0,0,0,0,0,0.569999993,0,0,0,0,0,0,0
V16-227,0,0,0,0,0,0,94.33000183,4.820000172,0.850000024,0,0,0,0,0,0,0,0,0,0,0,0,0
V14-47,0,0,0.109999999,0,0.109999999,0.109999999,68.5,2.710000038,10.94999981,0,0,0,1.950000048,0,14.19999981,0.109999999,0,0.430000007,0.109999999,0.109999999,0.109999999,0
V23-22,0,0,0,0,0,0,55.68999863,16.62000084,19.89999962,0,0,0,2.289999962,0,1.570000052,0,0,0,0,0,0,0
V2-12,0,0,0,0,0,0,96.30999756,3.279999971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V23-29,0,0,0,0,0,0,17.95999908,20.37000084,30.34000015,0.109999999,0,0,10.52000046,0,0.660000026,0,0,0,0.439999998,0,0,0
V12-43,0,0,0,0,0,0,19.30999947,32.72999954,15.06000042,0.159999996,0,0,2.130000114,0,22.09000015,1.960000038,0,0,0,0,0,0
R9-7,0,0,0,0,0,0,9.409999847,29.02000046,21.56999969,0.389999986,0,0,23.92000008,0,2.349999905,0,0.389999986,0,1.179999948,0,0,0
A157-3,0,0.140000001,0.569999993,0,0.140000001,0,13.36999989,33.15000153,21.34000015,0.430000007,0,0,1.99000001,0,23.04000092,1.139999986,0.709999979,0,0,0.140000001,0,0
V23-81,2.349999905,0,0,0,0,0,0,34.70999908,15.88000011,0.589999974,0,0.589999974,26.76000023,0,14.11999989,0,0.589999974,0,0,0,0,0
V23-82,0.75,0,0,0,0,0,2.25999999,40.59999847,8.649999619,0,0.75,0,23.68000031,0,18.42000008,0.379999995,0,0,1.129999995,0,0,0
V12-53,0.140000001,0,0.409999996,0,0,0,0.949999988,16.63999939,25.85000038,0.810000002,1.080000043,0,1.49000001,0,34.09999847,11.10000038,0.140000001,0.140000001,0.270000011,0,0,0
V23-83,0.400000006,0,0,0,0,0,1.379999995,46.43999863,19.95999908,0,0,0.200000003,11.85999966,0,14.81999969,0.200000003,0.589999974,0,1.190000057,0,0,0
V12-56,0.600000024,0,2.980000019,0,0.239999995,0,0.360000014,11.68999958,13.60000038,18.37999916,0.829999983,2.150000095,1.789999962,0,30.54999924,8.350000381,1.190000057,0.119999997,0.720000029,0.119999997,0,0
A152-84,0,0,6.699999809,0,0.49000001,0,0.819999993,17.47999954,19.28000069,11.27000046,1.629999995,1.139999986,7.349999905,0,17.64999962,1.309999943,1.629999995,0,5.070000172,0,0,0
V16-50,0.189999998,0,4.260000229,0,0.189999998,0,2.039999962,14.26000023,5,5.739999771,0.930000007,0.74000001,2.039999962,0.74000001,52.40999985,2.779999971,0,0.560000002,1.669999957,0.189999998,0,0
V22-122,0.75,0.150000006,0.889999986,0.150000006,0.75,0,0.600000024,11.77000046,26.53000069,0.600000024,0,0,0.300000012,1.340000033,47.84000015,4.619999886,0.150000006,0.600000024,0.300000012,0.300000012,0,0
V16-41,1.120000005,0.25,15.14999962,0.119999997,5.960000038,0,0.370000005,3.730000019,1.620000005,6.460000038,1.120000005,3.730000019,5.340000153,0.119999997,34.04000092,2.859999895,5.960000038,0.119999997,1.120000005,3.599999905,0,0
V4-32,2,0.430000007,15.11999989,1.850000024,6.559999943,0.569999993,0.569999993,10.56000042,9.130000114,14.68999958,2.569999933,1.710000038,5.989999771,0,10.13000011,2.420000076,3,0.709999979,4.139999866,0,0.280000001,0
V12-66,1.549999952,0,9.470000267,1.929999948,3.289999962,0.389999986,1.25999999,24.82999992,6.570000172,3.769999981,2.029999971,2.029999971,4.25,0.870000005,22.21999931,2.220000029,3.869999886,0.100000001,0.970000029,3.380000114,0,0
V19-245,1.50999999,0.550000012,10.59000015,0.819999993,7.699999809,0,0.280000001,10.03999996,2.339999914,4.679999828,2.200000048,4.130000114,2.890000105,0.959999979,30.12000084,3.99000001,4.130000114,0.409999996,1.379999995,4.400000095,0.280000001,0
V4-8,0.090000004,0.75999999,15.71000004,1.419999957,2.180000067,0.189999998,0.280000001,4.260000229,17.97999954,14.75,2.650000095,2.74000001,7.099999905,0.189999998,9.369999886,3.690000057,3.970000029,0,4.920000076,0,0,0.090000004
A180-15,0,0.200000003,17.01000023,0.409999996,2.049999952,0,0.409999996,9.630000114,16.38999939,13.10999966,0.620000005,0.620000005,6.559999943,0,15.97999954,3.890000105,2.25,0,1.639999986,0.200000003,0.200000003,0
V18-34,0.589999974,0.790000021,27.30999947,0,4.519999981,0.790000021,0.200000003,8.06000042,4.909999847,13.56000042,1.970000029,0,0.980000019,0,15.90999985,7.269999981,2.549999952,6.679999828,0,0.200000003,0,0
V20-213,1.340000033,0.340000004,26.51000023,2.680000067,2.00999999,1.120000005,0.219999999,8.170000076,3.24000001,12.30000019,2.349999905,1.230000019,6.599999905,0.219999999,14.09000015,7.71999979,1.120000005,0.560000002,3.019999981,0.670000017,0.109999999,0.340000004
V19-222,1.440000057,0,18.87000084,1.330000043,5.949999809,0.409999996,0.200000003,4.71999979,9.229999542,5.949999809,4.820000172,5.329999924,6.769999981,2.25999999,24.61000061,1.029999971,0.200000003,0.310000002,1.950000048,0.50999999,0.920000017,0
A180-39,1.379999995,0,26.40999985,2.980000019,14.11999989,0.460000008,0,8.5,0.920000017,6.769999981,1.49000001,4.130000114,4.360000134,0.689999998,12.39999962,7.119999886,1.49000001,0.920000017,0.460000008,0.800000012,1.25999999,0
V16-189,2.49,4.15,43.57,0.42,8.51,0,0,0.62,0,2.7,2.08,2.08,7.47,0,7.47,0.42,6.43,0,0.62,3.53,0.21,0.42
V12-18,1.269999981,1.769999981,49.93999863,1.769999981,4.059999943,0.379999995,0,1.769999981,1.769999981,3.420000076,2.279999971,3.930000067,6.840000153,0,4.820000172,2.150000095,5.070000172,0,2.279999971,1.519999981,0,0.50999999
V7-67,0,0.600000024,22.88999939,0.400000006,3.819999933,0,0,2.210000038,8.029999733,6.630000114,1.610000014,3.609999895,9.43999958,2.809999943,14.26000023,10.64000034,1.409999967,0.200000003,0.200000003,1.210000038,0.600000024,0
V17-165,0.319999993,0,30.86000061,1.399999976,1.830000043,0.219999999,0.109999999,1.929999948,7.739999771,15.81000042,2.039999962,2.900000095,7.099999905,0.219999999,9.569999695,6.449999809,2.369999886,0,1.610000014,0.109999999,0,0
V19-310,0.629999995,0.469999999,29.75,0.319999993,1.74000001,0,0,3.799999952,6.329999924,7.590000153,2.059999943,1.419999957,7.590000153,1.110000014,22.46999931,6.329999924,1.419999957,0.319999993,0.159999996,0.469999999,0.469999999,0
V16-190,1.299999952,2.079999924,40.29000092,1.389999986,5.03000021,0.689999998,0.090000004,5.630000114,3.380000114,3.640000105,0.779999971,2.25,4.590000153,0.689999998,11.18000031,3.809999943,2.690000057,2.339999914,0.870000005,1.99000001,1.039999962,0.170000002
A153-154,1.179999948,0.790000021,51.27999878,2.559999943,3.75,0.790000021,0,0,3.160000086,6.900000095,0.99000001,2.75999999,8.479999542,0.389999986,6.309999943,3.940000057,4.340000153,0.200000003,0.389999986,0,0,0
V19-308,2.460000038,0.889999986,52.04000092,4.360000134,3.359999895,0.779999971,0,0,0.889999986,5.599999905,2.410000086,5.599999905,4.929999828,0.109999999,3.920000076,5.369999886,1.570000052,0.109999999,0.779999971,0,0,0
V22-172,0.50999999,0.25,49.86999893,1.519999981,8.859999657,0,0,0.75999999,0.75999999,1.519999981,2.029999971,6.329999924,9.619999886,3.039999962,2.029999971,0,1.519999981,2.529999971,0.50999999,4.559999943,1.769999981,0.25
V10-98,1.149999976,1.879999995,32.81000137,0,3.230000019,1.879999995,0.310000002,3.960000038,4.579999924,8.850000381,1.559999943,0.730000019,3.440000057,2.809999943,15.10000038,1.559999943,3.349999905,8.020000458,0.519999981,0.519999981,0.209999993,0
V22-219,2.789999962,1.299999952,51.58000183,3.170000076,3.170000076,0.930000007,0.189999998,0.370000005,2.230000019,4.840000153,2.420000076,2.609999895,5.590000153,0,6.519999981,3.910000086,4.099999905,0.189999998,1.120000005,0.189999998,0,0.189999998
