Agrostis canina;Agrostis capillaris;Agrostis gigantea;Agrostis stolonifera;Ajuga reptans;Alchemilla monticola;Alnus glutinosa;Alopecurus geniculatus;Alopecurus pratensis;Anthoxanthum odoratum;Apera spica-venti;Artemisia vulgaris;Betula sp.;Bidens connata;Bidens tripartita;Calluna vulgaris;Capsella bursa-pastoris;Cardamine amara;Cardamine flexuosa;Cardamine impatiens;Cardaminopsis arenosa;Carex canescens;Carex echinata;Carex elongata;Carex flava;Carex hirta;Carex nigra;Carex ovalis;Carex pallescens;Carex pilosa;Carex remota;Carex spicata;Carex sylvatica;Carex vulpina;Carpinus betulus;Cerastium holosteoides;Chamomilla recutita;Chamomilla suaveolens;Chelidonium majus;Chenopodium album;Chenopodium sp.;Chrysosplenium alternifolium;Circaea intermedia;Cirsium oleraceum;Conyza canadensis;Dactylis glomerata;Deschampsia caespitosa;Deschampsia flexuosa;Elsholtzia ciliata;Epilobium obscurum;Epilobium sp.;Erigeron acris;Erigeron annuus;Erodium cicutarium ;Fallopia convolvulus ;Festuca arundinacea;Festuca gigantea;Festuca rubra;Fragaria vesca;Galeobdolon luteum;Galeopsis bifida;Galinsoga ciliata;Galinsoga parviflora;Galium aparine;Galium palustre;Geranium robertianum;Geum urbanum;Glechoma hederacea;Glyceria fluitans;Gnaphalium sylvaticum;Gnaphalium uliginosum;Holcus lanatus;Holcus mollis;Hypericum perforatum;Hypochoeris radicata;Impatiens noli-tangera;Juncus articulatus;Juncus bufonius;Juncus effusus;Juncus sp.;Juncus tenuis;Lapsana communis;Lathyrus pratensis;Leontodon autumnalis;Leucanthemum vulgare;Lupinus polyphyllus;Luzula campestris;Luzula multiflora;Luzula pilosa;Lychnis flos-cuculi;Lythrum salicaria;Marticaria maritima subsp. inodora;Medicago lupulina;Melica nutans;Mentha aquatica;Mentha arvensis;Milium effusum;Moehringia trinervia;Mycelis muralis;Myosotis scorpioides;Myosotis sparsiflora;Myosotis sylvatica;Oxalis acetosella;Oxalis dillenii;Phleum pratense;Plantago lanceolata;Plantago major;Poa angustifolia;Poa annua;Poa palustris;Poa pratensis;Poa sp.;Poa subcareluea;Poa trivialis;Polygonum aviculare;Polygonum hydropiper;Polygonum minus;Polygonum mite;Potentilla anserina;Potentilla norvegica;Potentilla reptans;Prunella vulgaris;Ranunculus acris;Ranunculus flammula;Ranunculus lanuginosus;Ranunculus repens;Rorippa palustris;Rubus caesius;Rubus idaeus;Rumex acetosa;Rumex acetosella;Rumex crispus;Rumex longifolius;Rumex obtusifolius;Sarothamnus scoparius;Scirpus sylvaticus;Scrophularia nodosa;Scutellaria galericulata;Sisymbrium officinale;Solanum dulcamara;Solidago virgaurea;Spergula arvensis;Stachys sylvatica;Stellaria graminea;Stellaria holostea;Stellaria media;Stellaria nemorum;Taraxacum officinale;Trifolium hybridum;Trifolium pratense;Trifolium repens;Typha angustifolia;Urtica dioica;Vaccinium myrtillus;Veronica agrestis;Veronica arvensis;Veronica chamaedrys;Veronica hederifolia;Veronica officinalis;Veronica scutellata;Veronica serpyllifolia;Vicia angustifolia;Vicia sepium;Vicia sylvatica;Viola riviniana/rech
251 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;2;65;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;8;2;0;0;0;0;0;0;0;33;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;5;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;59;0;7;0;0;0;1;0;0;0;1;1;0;2;0
251 1/N;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0
 251 2/N;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
251 3/N;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;2
251 4/N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
251 5/N;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
251 6/N;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
251 7/N;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
251 8/N;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1
251 1/S;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
