temperature;NAP;grainsize
Site1;17,5;0,05;222,5
Site2;17,5;-1,04;200,0
Site3;17,5;-1,34;194,5
Site4;17,5;0,62;221,0
Site5;17,5;-0,68;202,0
Site7;20,8;0,82;205,5
Site8;20,8;0,64;211,5
Site11;15,8;-0,98;330,5
Site12;15,8;1,49;272,5
Site13;15,8;-0,20;296,5
Site14;15,8;-0,48;304,0
Site15;15,8;0,17;323,5
Site16;18,8;1,77;293,5
Site17;18,8;-0,03;361,0
Site18;18,8;0,46;330,5
Site19;18,8;1,37;289,5
Site20;18,8;-0,81;297,0
Site21;19,8;1,12;251,5
Site23;19,8;0,73;275,5
Site24;19,8;1,63;256,5
Site25;19,8;0,05;254,5
Site26;17,4;-0,58;351,0
Site27;17,4;-0,35;405,5
Site28;17,4;2,22;347,5
Site29;17,4;-0,89;336,0
Site30;17,4;0,77;354,5
Site31;18,4;0,88;266,0
Site32;18,4;1,79;256,5
Site33;18,4;1,38;234,0
Site34;18,4;-0,06;242,0
Site35;18,4;0,37;284,0
Site36;20,0;1,67;294,5
Site37;20,0;-0,38;316,5
Site38;20,0;-1,01;355,0
Site39;20,0;0,17;362,0
Site40;20,0;2,05;311,5
Site41;20,5;-0,36;244,5
Site42;20,5;0,09;247,5
Site43;20,5;0,00;223,0
Site44;20,5;2,26;186,0
Site45;20,5;0,87;189,5
