m34k;m34n;m89k;m89n;m13k;m13n;m105k;m105n;m106k;m106n;m14k;m14n;m35k;m35n;m8bk;m8bn;m61k;m61n;m48ak;m48an;m41k;m41n
Abi.alb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ace.pse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aco.fir;7;0;8;3;7;4;7;7;4;4;3;3;2;0;2;0;3;2;2;0;4;2
Aco.var;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ade.all;0;0;0;0;0;7;2;3;4;7;2;4;7;4;2;3;4;7;3;8;7;7
Ado.mos;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Aeg.pod;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agr.sto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agr.alp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agr.can;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agr.rup;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agr.cap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alc.gla;3;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
Alc.fla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alc.xan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Aln.inc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ane.nar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ang.arc;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
Ang.syl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ant.car;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anx.alp;2;3;0;2;0;0;0;3;0;2;0;2;0;3;0;0;0;2;0;0;0;2
Ara.alp;4;0;3;2;4;0;7;7;4;4;0;0;0;1;0;0;0;1;0;0;0;2
Art.eri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aru.dio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asp.vir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ast.bel;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Asn.maj;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ath.dis;0;2;0;0;0;3;0;0;0;0;9;7;7;7;9;7;0;2;8;7;2;7
