ASW;Forests;Industrial;Water;Urban.dense;Urban.sparse;OLDFR;AFIS;Dryomas;Festgiga;Ficavern;Poanemo;Scronodo
17.63021773;63.90111992;3.105241413;0.016896672;2.118575518;0.783629461;recentforest;1;0;0;1;0;0
25.94209832;68.78580402;0;1.772335245;0;0;recentforest;17;1;1;1;1;0
5.58553824;77.74525154;0;14.02734248;0.207070567;0;recentforest;8;1;0;0;1;1
0.550107791;81.31572974;0;11.21995643;1.646776716;0.451689379;recentforest;21;1;1;1;1;1
13.46140416;44.01940733;9.608894768;0;16.58005363;3.619801704;recentforest;4;0;0;0;0;0
0;53.94654455;0;41.76733795;0.201221658;0;recentforest;9;1;0;0;1;0
20.59297897;64.25026694;0;0;0.966690122;0;recentforest;2;1;0;0;1;0
27.10769601;9.052120477;0;0;19.20390733;0.796903085;recentforest;2;0;0;0;0;0
2.441628137;38.30818413;3.2317866;0;33.30454107;0.691547075;recentforest;8;0;0;1;0;0
18.06841491;39.54779694;1.569000784;0;28.71201025;0;recentforest;7;1;0;0;1;0
1.037304766;44.18125821;0;0;37.37598225;0;recentforest;3;0;0;0;1;0
31.35404281;66.23802422;0;0;0;0;recentforest;2;0;0;0;0;0
6.167401053;6.932735541;27.29614325;0;34.34812001;4.425895946;recentforest;5;1;0;0;0;0
19.56610657;2.290835845;7.678008573;0;48.81978782;0.795230942;recentforest;12;0;0;1;0;1
89.08972863;1.992313774;2.402797493;1.401670909;1.474456419;0;recentforest;20;0;1;1;0;1
27.4276907;41.10036427;19.61481696;6.949813735;2.888275011;0;recentforest;33;1;1;1;1;1
11.32150772;30.36445909;28.17607953;0.079572206;1.266254224;0;recentforest;17;0;1;1;1;1
22.7423724;69.54116363;0.338062164;0;0;0;recentforest;14;0;0;1;0;0
0;40.21087533;3.54493131;0;0;0;recentforest;1;0;0;0;0;0
2.010026763;65.24793352;9.233249342;0;2.263112604;0;recentforest;10;0;1;1;0;1
1.180407617;28.97270358;1.37994181;0;51.88042875;0.25733657;recentforest;0;0;0;0;0;0
3.705363146;47.41404088;6.048896312;0;16.24423514;0;recentforest;0;0;0;0;0;0
27.46285285;5.000752426;39.61750451;0;5.636028585;0;recentforest;2;0;0;0;0;0
10.92127886;28.80527425;25.16692781;0;24.24342417;0.139928663;recentforest;2;0;0;0;0;0
6.762895591;43.90857047;0.060921561;0;0.227722817;0;recentforest;1;0;0;0;0;1
5.379879653;79.78471675;0;0;11.84245444;0;recentforest;4;0;1;0;0;0
8.472194334;55.24977583;21.15899875;0;6.047501013;0;recentforest;5;0;0;0;1;0
0;15.7058047;1.593197906;0;46.39056121;0;recentforest;6;1;0;0;1;0
0;18.67680515;15.50570756;8.464886104;0.416831049;3.380861314;recentforest;14;1;1;1;0;1
19.64565968;20.80329834;7.455792885;17.08629127;2.617028627;0;recentforest;9;0;0;1;1;1
65.15317118;0;0.797913673;9.049021971;7.163706634;0;recentforest;4;0;0;0;0;1
40.85135444;24.49530197;10.63584525;8.420874788;4.500714666;0;recentforest;1;0;0;0;0;0
35.21614888;12.06392395;1.862020218;5.137293533;29.83075785;0;recentforest;0;0;0;0;0;0
26.79458791;48.75637894;22.81990272;0;0.510890963;0;recentforest;0;0;0;0;0;0
0.356368037;69.05416415;17.28802708;0;0;0;recentforest;8;0;0;0;0;0
0.002611039;91.67898452;0;0;5.632771765;0;recentforest;5;0;1;0;1;0
0;0.9023537;12.18452584;0;38.03158097;0.334676554;recentforest;3;0;0;1;0;0
12.67394663;20.651696;30.89324544;3.571677527;8.799819263;6.470977645;recentforest;0;0;0;0;0;0
36.92577869;15.33002394;0;12.75799351;24.90808535;5.430579842;recentforest;3;0;0;0;0;0
21.83564752;52.72194113;1.33729559;16.5487834;2.008919151;0;recentforest;1;0;0;0;0;0
8.604040659;7.087224301;8.573236524;2.645426057;22.38191877;2.639201899;recentforest;22;0;1;0;1;0
84.29946693;0;0.601363774;0;0;2.593638311;recentforest;2;0;0;0;0;0
52.79860493;9.138960067;35.56289936;0;0;0;recentforest;1;0;0;0;0;0
70.88343642;3.725461963;2.854298758;1.536762662;4.233291727;0;recentforest;0;0;0;0;0;0
0;6.471164084;93.40717608;0;0;0;recentforest;0;0;0;0;0;0
9.084614084;29.75290607;59.49612513;0;0.75866443;0;recentforest;0;0;0;0;0;0
52.73064277;11.5204341;10.70883701;0;15.15871781;0.240277014;recentforest;3;0;0;0;0;0
27.09050738;25.9319133;45.51935672;0;0.878162682;0;recentforest;0;0;0;0;0;0
8.360478149;1.260445388;89.82962349;0;0;0;recentforest;0;0;0;0;0;0
67.27252664;8.170342754;3.586089648;0;15.29428936;3.293407768;recentforest;11;0;1;1;1;1
56.98362166;10.1603391;13.88416451;0;7.11260311;0;recentforest;0;0;0;0;0;0
43.99962066;27.21000133;2.647267652;0.767996121;10.65714811;0;recentforest;3;0;0;0;0;0
43.14629536;49.96160788;0;0;2.540626284;0;recentforest;2;0;0;0;1;0
