;Settl_1000;RivDens_1000;Agri_1000;Forest_1000
1;49.3;6.9;26;24.7
2;65.4;6.6;34.6;0
3;59.4;0;40.6;0
4;58;7.7;42;0
5;72.1;10.3;27.9;0
6;65;10.2;35;0
7;54.7;9.4;40.6;0
8;72.3;11.5;27.7;0
9;54.4;8.5;44;0
10;75.2;10.1;24.8;0
11;45.2;9.1;54.8;0
12;71.9;11.3;28.1;0
13;49.8;7.2;23.8;26.4
14;0;7.4;84.8;15.2
15;58.1;11.7;40.5;1.4
17;68.6;11.2;31.4;0
18;71.3;11.3;28.7;0
19;14.2;1.6;85.8;0
20;63.4;6.4;36.6;0
21;22.5;6.5;77.5;0
22;6.6;6.5;86.2;7.2
23;67.1;10.5;32.9;0
24;20.1;10.3;74.4;5.5
25;74.2;11.4;25.8;0
26;0;0;100;0
27;0;6;100;0
28;2.9;0.2;42.1;47.3
29;53.1;6.5;46.9;0
31;0;0;98.3;1.7
32;0;6.5;76.5;23.5
33;19.2;9;80.8;0
