"Acer_campestre";"Acer_negundo";"Acer_platanoides";"Acer_pseudoplatanus";"Achillea_millefolium";"Achillea_pannonica";"Adoxa_moschatellina";"Aegopodium_podagraria";"Aesculus_hippocastanum";"Agrimonia_eupatoria";"Agrostis_canina";"Agrostis_stolonifera";"Alcea_rosea";"Alchemilla_vulgaris";"Alisma_plantago_aquatica";"Alium_oleraceum";"Alium_scorodoprasum";"Alium_vineale";"Alliaria_petiolata";"Alnus_glutinosa";"Alopecurus_pratensis";"Alyssum_alyssoides";"Anemone_nemorosa";"Anemone_ranunculoides";"Anethum_graveolens";"Angelica_sylvestris";"Anthemis_arvensis";"Anthemis_tinctoria";"Anthriscus_sylvestris";"Aquilegia_vulgaris";"Arabidopsis_thaliana";"Arctium_lappa";"Arctium_tomentosum";"Arenaria_serpyllifolia";"Armoracia_rusticana";"Artemisia_absinthium";"Artemisia_campestris";"Artemisia_vulgaris";"Asparagus_officinalis";"Asperugo_procumbens";"Astragalus_glycyphyllos";"Atriplex_nitens";"Atriplex_patula";"Ballota_nigra";"Berberis_vulgaris";"Berteroa_incana";"Betula_pendula";"Bidens_tripartita";"Brassica_napus";"Bromus_inermis";"Bromus_sterilis";"Bromus_tectorum";"Bryonia_alba";"Calamagrostis_epigejos";"Caltha_palustris";"Calystegia_sepium";"Campanula_rapunculoides";"Cannabis_ruderalis";"Capsella_bursa_pastoris";"Caragana_arborescens";"Cardamine_amara";"Cardamine_pratensis";"Cardaminopsis_arenosa";"Cardaria_draba";"Carduus_acanthoides";"Carduus_crispus";"Carex_elata";"Carex_hirta";"Carex_nigra";"Carex_praecox";"Carpinus_betulus";"Cerastium_arvense";"Cerastium_fontanum";"Cerastium_semidecandrum";"Chaerophyllum_temulum";"Chamomilla_suaveolens";"Chelidonium_majus";"Chenopodium_album";"Chenopodium_hybridum";"Chenopodium_strictum";"Cichorium_intybus";"Cicuta_virosa";"Cirsium_arvense";"Cirsium_oleraceum";"Clematis_vitalba";"Consolida_regalis";"Convallaria_majalis";"Convolvulus_arvensis";"Conyza_canadensis";"Cornus_sanguinea";"Corylus_avellana";"Crataegus_monogyna";"Cucumis_sativus";"Dactylis_glomerata";"Deschampsia_caespitosa";"Descurainia_sophia";"Dryopteris_filix_mas";"Echium_vulgare";"Equisetum_arvense";"Equisetum_fluviatile";"Equisetum_pratense";"Erodium_cicutarium";"Erophila_verna";"Eryngium_planum";"Euonymus_europaea";"Euphorbia_cyparissias";"Euphorbia_esula";"Fagus_sylvatica";"Falcaria_vulgaris";"Fallopia_convolvulus";"Festuca_rubra";"Ficaria_verna";"Filipendula_ulmaria";"Filipendula_vulgaris";"Fragaria_vesca";"Fragaria_viridis";"Frangula_alnus";"Fraxinus_excelsior";"Fumaria_officinalis";"Fumaria_vaillanti";"Gagea_arvensis";"Gagea_lutea";"Gagea_minima";"Gagea_pratensis";"Galanthus_nivalis";"Galeopsis_tetrahit";"Galium_album";"Galium_aparine";"Galium_mollugo";"Galium_palustre";"Galium_verum";"Geranium_molle";"Geranium_pratense";"Geranium_pusillum";"Geranium_robertianum";"Geum_urbanum";"Glechoma_hederacea";"Hedera_helix";"Helichrysum_arenarium";"Hemerocallis_fulva";"Heracleum_sphondylium";"Hieracium_pilosella";"Holosteum_umbellatum";"Humulus_lupulus";"Hypericum_perforatum";"Impatiens_parviflora";"Iris_barbata";"Juncus_articulatus";"Juncus_macer";"Knautia_pratensis";"Koeleria_glauca";"Laburnum_anagyroides";"Lamiastrum_galeobdolon";"Lamium_album";"Lamium_amplexicaule";"Lamium_maculatum";"Lamium_purpureum";"Lapsana_communis";"Lathyrus_pratensis";"Lathyrus_tuberosus";"Lemna_minor";"Leonurus_cardiaca";"Lepidium_densiflorum";"Lepidium_ruderale";"Leucanthemum_ircutianum";"Lilium_bulbiferum";"Lilium_martagon";"Linaria_vulgaris";"Lithospermum_arvense";"Lolium_perenne";"Lonicera_xylosteum";"Lotus_corniculatus";"Luzula_campestris";"Lycium_barbarum";"Lysimachia_nummularia";"Lythrum_salicaria";"Malus_domestica";"Malus_sylvestris";"Malva_neglecta";"Matricaria_maritima_ssp._indora";"Medicago_lupulina";"Medicago_sativa";"Melampyrum_pratense";"Moehringia_trinervia";"Muscari_comosum";"Mycelis_muralis";"Myosotis_arvensis";"Myosotis_palustris";"Myosotis_sylvatica";"Myosoton_aquaticum";"Narcissus_poeticus";"Narcissus_pseudonarcissus";"Nuphar_lutea";"Oenanthe_aquatica";"Oenothera_biennis";"Origanum_vulgare";"Ornithogalum_umbellatum";"Padus_avium";"Padus_serotina";"Paeonia_officinalis";"Persica_vulgaris";"Petasites_hybridus";"Phalaris_arundinacea";"Phragmites_australis";"Pimpinella_major";"Pimpinella_saxifraga";"Pinus_sylvestris";"Plantago_intermedia";"Plantago_lanceolata";"Plantago_major";"Plantago_media";"Poa_annua";"Poa_pratensis";"Poa_trivialis";"Polygonatum_multiflorum";"Polygonatum_odoratum";"Polygonum_arenastrum";"Polygonum_aviculare";"Polygonum_neglectum";"Populus_alba";"Populus_nigra";"Potentilla_anserina";"Potentilla_argentea";"Potentilla_collina";"Potentilla_recta";"Potentilla_reptans";"Primula_veris";"Prunus_domestica";"Prunus_spinosa";"Pulmonaria_officinalis";"Pyrus_communis";"Pyrus_pyraster";"Quercus_robur";"Quercus_rubra";"Ranunculus_acris";"Ranunculus_auricomus";"Ranunculus_bulbosus";"Ranunculus_cassubicus";"Ranunculus_lanuginosus";"Ranunculus_repens";"Ranunculus_sceleratus";"Rhamnus_cathartica";"Rhus_typhina";"Ribes_grossularia";"Ribes_petraeum";"Ribes_spicatum";"Robinia_pseudacacia";"Rorippa_amphibia";"Rorippa_sylvestris";"Rosa_canina";"Rubus_caesius";"Rubus_idaeus";"Rudbeckia_laciniata";"Rumex_acetosa";"Rumex_acetosella";"Rumex_confertus";"Rumex_crispus";"Rumex_hydrolapathum";"Rumex_obtusifolius";"Rumex_thyrsiflorus";"Salix_alba";"Salix_cinerea";"Salix_fragilis";"Salix_pentandra";"Salix_triandra";"Salvia_pratensis";"Sambucus_nigra";"Saponaria_officinalis";"Scilla_bifolia";"Scilla_sibirica";"Scirpus_sylvaticus";"Scrophularia_nodosa";"Scrophularia_umbrosa";"Sedum_acre";"Sedum_album";"Sedum_reflexum";"Sedum_sexangulare";"Senecio_jacobaea";"Senecio_vernalis";"Senecio_vulgaris";"Silene_vulgaris";"Sinapis_arvensis";"Sisymbrium_loeseli";"Solidago_canadensis";"Solidago_gigantea";"Sorbaria_sorbifolia";"Sorbus_aucuparia";"Sorbus_intermedia";"Spirodela_polyrhiza";"Stellaria_media";"Symphiocarpus_albus";"Symphytum_officinale";"Syringa_vulgaris";"Tanacetum_vulgare";"Taraxacum_officinale";"Thalictrum_minus";"Thymus_pulegioides";"Tilia_cordata";"Trifolium_alpestre";"Trifolium_pratense";"Trifolium_repens";"Tussilago_farfara";"Ulmus_glabra";"Ulmus_laevis";"Ulmus_minor";"Urtica_dioica";"Urtica_urens";"Valeriana_officinalis";"Verbascum_thapsus";"Veronica_arvensis";"Veronica_beccabunga";"Veronica_chamaedrys";"Veronica_hederifolia";"Veronica_persica";"Veronica_serpyllifolia";"Veronica_triphyllos";"Viburnum_opulus";"Vicia_cracca";"Vicia_hirsuta";"Vicia_sepium";"Vicia_tetrasperma";"Vicia_villosa";"Vinca_minor";"Vincetoxicum_hirudinaria";"Viola_arvensis";"Viola_cyanea";"Viola_mirabilis";"Viola_odorata";"Viola_reichenbachiana";"Viola_tricolor";"Viscum_album"
"1";0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"3";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
"5";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"6";0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"7";0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1
"8";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"9";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
