habitat;time;EIV_N;Rich;Shan
decid;h;3.125;28;3.24523247818091
decid;n;3.15873015873016;40;3.58933890591381
decid;h;2.92156862745098;33;3.40454777618591
decid;n;3.25396825396825;42;3.6338772419409
decid;h;2.925;32;3.39439811299395
decid;n;3.2258064516129;43;3.64554002866192
decid;h;3.13461538461538;36;3.48670873350527
decid;n;3.35087719298246;40;3.60698831388261
decid;h;3.22641509433962;36;3.49983124537298
decid;n;3.09433962264151;41;3.61538563823315
decid;h;3.05882352941176;40;3.60631968895443
decid;n;3.11666666666667;44;3.67874279395452
decid;h;3.09259259259259;43;3.6631264848856
decid;n;3.16666666666667;35;3.46245468663212
decid;h;3.05263157894737;30;3.3177507440171
decid;n;3.07575757575758;46;3.73075231815262
decid;h;2.9047619047619;35;3.46613045215154
decid;n;2.78571428571429;37;3.50476457135352
decid;h;2.82978723404255;38;3.55172592410208
decid;n;3.12162162162162;48;3.76270297542217
decid;h;2.97560975609756;32;3.37639988154931
decid;n;3.04838709677419;42;3.63008126810233
decid;h;3.02702702702703;26;3.17482725785174
decid;n;2.94202898550725;46;3.72088958318341
decid;h;3.23255813953488;34;3.42654895836862
decid;n;3.19402985074627;45;3.72645107671477
conif;h;3.08695652173913;39;3.58435573726519
conif;n;3.16176470588235;51;3.82717011439147
decid;h;2.86666666666667;37;3.53075470442614
decid;n;3.30769230769231;38;3.55750479958688
decid;h;2.98076923076923;40;3.59073579364314
decid;n;3.21428571428571;35;3.46784470761351
decid;h;3.16326530612245;37;3.51073323377805
decid;n;3.26785714285714;44;3.70537150391259
decid;h;3.08888888888889;37;3.53065654578639
decid;n;3.13513513513514;51;3.83500303267046
decid;h;3.02564102564103;30;3.32224198601733
decid;n;3.28205128205128;29;3.28219034061232
decid;h;3.02702702702703;30;3.3177507440171
decid;n;3.01694915254237;41;3.62289834322281
decid;h;3;28;3.22293309694697
decid;n;2.90196078431373;39;3.5777347251775
decid;h;3;35;3.47437912784108
decid;n;2.96969696969697;46;3.75360792041559
decid;h;3;37;3.51340124671296
decid;n;3.28205128205128;54;3.8987809797699
decid;h;3.27272727272727;28;3.24507545295286
decid;n;3.16666666666667;43;3.68414266795733
conif;h;3;27;3.18600897237352
conif;n;3.57692307692308;14;2.57022312060239
decid;h;2.62962962962963;26;3.17663339502939
decid;n;3.36619718309859;42;3.64945584839034
decid;h;3.18;42;3.66101464909398
decid;n;3.2112676056338;44;3.69409832892321
decid;h;3.2972972972973;29;3.27591327373435
decid;n;2.98611111111111;47;3.76237358961774
decid;h;2.96551724137931;24;3.09235147676256
decid;n;3.13636363636364;42;3.63892188652114
decid;h;3.21153846153846;34;3.43401746460193
decid;n;3.15584415584416;51;3.82213621010483
decid;h;2.83333333333333;26;3.16443281693963
decid;n;2.84285714285714;43;3.6708112252051
decid;h;3.20833333333333;40;3.59081527562471
decid;n;3.046875;43;3.66372113983132
decid;h;3.13636363636364;35;3.48484528510949
decid;n;3.2463768115942;46;3.73075231815262
decid;h;3.05555555555556;29;3.28148609761774
decid;n;3.17910447761194;44;3.69278815419936
decid;h;2.96875;29;3.28148609761774
decid;n;3.24444444444444;33;3.38098666482736
conif;h;2.95652173913043;14;2.53502516191076
conif;n;3.07692307692308;11;2.33867217029062
conif;h;3.25925925925926;19;2.83054759298332
conif;n;3.18867924528302;33;3.38622022248721
conif;h;2.74418604651163;33;3.42202573492654
conif;n;3.39130434782609;45;3.68788037673392
conif;h;3.20833333333333;35;3.44614452914183
conif;n;3.24096385542169;51;3.82367771065835
decid;h;3.10810810810811;27;3.19669540981039
decid;n;3.11594202898551;45;3.71738543264131
decid;h;3.15789473684211;28;3.23819663049832
decid;n;3.03448275862069;37;3.51535431628593
decid;h;2.82857142857143;26;3.16443281693963
decid;n;3.06349206349206;39;3.57311026696042
decid;h;2.97959183673469;34;3.43401746460193
decid;n;3.40322580645161;48;3.76201075996935
decid;h;2.9047619047619;29;3.25944042131821
decid;n;3.15277777777778;49;3.8002567719856
decid;h;2.64864864864865;26;3.14726603502763
decid;n;3.13207547169811;36;3.46982976112577
decid;h;2.78787878787879;26;3.14726603502763
decid;n;3.19512195121951;30;3.29683561051246
conif;h;2.93103448275862;19;2.84056463487507
conif;n;3.23255813953488;25;3.08201828733337
conif;h;3.84615384615385;8;1.95125950414396
conif;n;3.58139534883721;26;3.16394184753761
conif;h;3.28571428571429;19;2.85800623966723
conif;n;3.38888888888889;35;3.45225416440363
conif;h;2.81818181818182;20;2.89874553958634
conif;n;3.18461538461538;43;3.6562393846076
decid;h;3.27272727272727;27;3.21017629687406
decid;n;3.2463768115942;46;3.72656059822426
decid;h;2.97435897435897;31;3.3151426472505
decid;n;2.94285714285714;51;3.83013885585715
decid;h;2.66666666666667;26;3.17751402053375
decid;n;3.16949152542373;38;3.55404347223569
decid;h;2.94285714285714;27;3.19675967780318
decid;n;3.22058823529412;46;3.73271645873914
decid;h;3.36666666666667;23;3.02885034805762
decid;n;3.10769230769231;40;3.59234716770273
decid;h;2.78787878787879;23;3.03528594941437
decid;n;3.04918032786885;39;3.56729012078368
decid;h;2.67857142857143;22;3.00630085929358
decid;n;3.24137931034483;43;3.67687086951133
conif;h;2.95454545454545;14;2.52478144717382
conif;n;3.25;20;2.90910904063365
conif;h;3.5;5;1.50478828368119
conif;n;3.7027027027027;20;2.8845325937656
conif;h;3.5;11;2.29341258948536
conif;n;3.82857142857143;22;2.96536315522221
conif;h;3.18181818181818;28;3.22879874640836
conif;n;3.5;41;3.60807261349652
conif;h;3.39473684210526;31;3.33368584951907
conif;n;3.30357142857143;37;3.48061465702592
decid;h;3.62857142857143;24;3.06895569169541
decid;n;3.32727272727273;37;3.5091733819301
conif;h;3.26086956521739;20;2.88293742718052
conif;n;3.18181818181818;45;3.67346392291583
conif;h;2.96;24;3.07031607677118
conif;n;3.34444444444444;55;3.90411197727577
decid;h;2.91666666666667;30;3.3042106476945
decid;n;3.04109589041096;46;3.75029030597314
decid;h;3.06382978723404;35;3.4587727210505
decid;n;3.06756756756757;50;3.80735768439036
decid;h;3.05882352941176;26;3.17049266237807
decid;n;3.29230769230769;42;3.66923184624931
conif;h;3.03703703703704;16;2.65353203091629
conif;n;3.68421052631579;19;2.83189188930199
conif;h;2.85714285714286;10;2.21870193546738
conif;n;3.21276595744681;21;2.98218822274804
conif;h;2.76470588235294;10;2.20082764903455
conif;n;3.48387096774194;17;2.70144988957628
conif;h;3.64285714285714;9;2.06920246582036
conif;n;3.19444444444444;18;2.7963458800425
conif;h;3.42307692307692;21;2.9487837204524
conif;n;3.38888888888889;29;3.27708063278569
conif;h;2.77272727272727;20;2.89793259747347
conif;n;3.59090909090909;43;3.65305645214993
decid;h;3.23684210526316;31;3.33782158628118
decid;n;3.14754098360656;41;3.61926825066002
decid;h;3.125;24;3.08553706796396
decid;n;3.30263157894737;47;3.76387973049383
conif;h;3.31818181818182;29;3.25757534443001
conif;n;3.09411764705882;50;3.82185834847615
decid;h;3.33333333333333;27;3.18334305873229
decid;n;3.34782608695652;55;3.90492230106269
decid;h;3.34210526315789;27;3.20100789041607
decid;n;3.19117647058824;43;3.66086225975874
conif;h;3.16666666666667;15;2.58063837741792
conif;n;3.01818181818182;34;3.45001299375644
conif;h;2.96428571428571;14;2.54562016108587
conif;n;3.05;9;2.12862074618514
conif;h;2.625;19;2.84686376158253
conif;n;2.84848484848485;17;2.72922881478449
conif;h;2.92592592592593;17;2.7214846262452
conif;n;2.94736842105263;26;3.14258045364038
conif;h;3.47619047619048;12;2.37564654813425
conif;n;3.16666666666667;24;3.09738129198421
conif;h;3.23809523809524;19;2.84430532669826
conif;n;3.28947368421053;45;3.71669895605935
decid;h;3.09302325581395;32;3.36063222104853
decid;n;3.1304347826087;47;3.7545143615561
decid;h;3.175;28;3.21792862773376
decid;n;3.21621621621622;52;3.83291837278212
conif;h;3.37142857142857;27;3.19909017596763
conif;n;3.08;50;3.81026556146865
decid;h;3.4375;29;3.26875306615091
decid;n;3.28;53;3.84849449950649
decid;h;3.4;29;3.27334277878723
decid;n;3.3;43;3.6634071673989
conif;h;3.04761904761905;10;2.21870193546738
conif;n;2.78947368421053;22;2.99219639336398
conif;h;2.59459459459459;17;2.74843487554925
conif;n;3.40740740740741;19;2.85317721278896
conif;h;2.85185185185185;15;2.62587811858176
conif;n;3.21052631578947;26;3.15534260348829
conif;h;3.05714285714286;26;3.14779704947281
conif;n;2.8;15;2.58280823443909
conif;h;3.08333333333333;18;2.77116964108868
conif;n;3.03921568627451;27;3.20136952330687
conif;h;3.33333333333333;29;3.27770027303634
conif;n;3.06944444444444;47;3.76081855605928
decid;h;3.2972972972973;29;3.28780527700173
decid;n;3.02739726027397;43;3.6708112252051
decid;h;3.30952380952381;35;3.45778224331034
decid;n;3.375;44;3.68994428297919
decid;h;3.28571428571429;33;3.38576008389142
decid;n;3.01282051282051;49;3.79963500089966
decid;h;3.31578947368421;28;3.21676625207447
decid;n;3.31111111111111;57;3.93345989130002
decid;h;3.16216216216216;34;3.4445350617737
decid;n;3.30985915492958;51;3.8176805667199
conif;h;3;10;2.20515510119946
conif;n;3.06896551724138;12;2.44638227820629
conif;h;2.74074074074074;15;2.63250554139477
conif;n;2.76;13;2.48444964303622
conif;h;2.71428571428571;16;2.67235169799427
conif;n;3;11;2.32121052425537
conif;h;3.11111111111111;30;3.30335298368937
conif;n;3.175;29;3.27469460010971
decid;h;3.26470588235294;28;3.24572230613355
decid;n;3.34210526315789;49;3.7926952850541
decid;h;3.02173913043478;35;3.46784470761351
decid;n;3.26865671641791;40;3.6038516307522
decid;h;3.52;21;2.94901233066179
decid;n;3.1358024691358;53;3.8800806126969
decid;h;3.05128205128205;33;3.41618201706774
decid;n;3.23255813953488;53;3.88558957757235
decid;h;3.04255319148936;38;3.55819923988557
decid;n;3.02272727272727;47;3.77433388879498
decid;h;3.25806451612903;25;3.1293640643829
decid;n;3.04;45;3.70620125178837
decid;h;2.77272727272727;32;3.37432395750205
decid;n;2.95081967213115;45;3.71011683371336
conif;h;3.10344827586207;17;2.7214846262452
conif;n;3.11111111111111;12;2.40939596676782
conif;h;2.96551724137931;18;2.7970384511826
conif;n;3;13;2.49610964818874
conif;h;3.37037037037037;21;2.9295686187776
conif;n;3.35;13;2.49149372187944
decid;h;3.06818181818182;42;3.66282522940405
decid;n;3.12698412698413;42;3.64441683368493
conif;h;3.12121212121212;24;3.07781680610243
conif;n;3.18421052631579;48;3.77229366108159
decid;h;3.25581395348837;32;3.36774125817334
decid;n;3.2089552238806;43;3.68565253232753
conif;h;2.96969696969697;24;3.06328841188295
conif;n;3.19480519480519;51;3.82350182641232
decid;h;2.94285714285714;25;3.12004804083354
decid;n;3.24657534246575;49;3.78780035552883
decid;h;3.16279069767442;31;3.33290633382613
decid;n;3.26027397260274;45;3.72042815054316
decid;h;3.075;33;3.41383203710354
decid;n;3.25;59;3.97454697188398
decid;h;3.11538461538462;37;3.5404658058732
decid;n;3.26744186046512;56;3.92956797888883
conif;h;3.31578947368421;13;2.45158306052179
conif;n;3.23684210526316;23;3.0434006718567
conif;h;3;10;2.18703290677101
conif;n;3.06060606060606;19;2.86579523105015
decid;h;3.13513513513514;27;3.1891158871487
decid;n;3.20689655172414;39;3.55234017381898
decid;h;2.72972972972973;27;3.20100789041607
decid;n;3.36764705882353;38;3.55062771370267
decid;h;2.8;27;3.20518962190023
decid;n;3.42105263157895;38;3.53436769750503
decid;h;3.06451612903226;25;3.1443140113476
decid;n;3.06779661016949;41;3.60711602689992
decid;h;3.06060606060606;25;3.16130893065939
decid;n;3.08450704225352;47;3.73843534038168
decid;h;3.1;23;3.04707422285593
decid;n;3.49295774647887;46;3.74375424369327
decid;h;3.41025641025641;30;3.30968115981272
decid;n;3.29761904761905;54;3.88373435542368
conif;h;3.41666666666667;24;3.078330965551
conif;n;3.31884057971015;45;3.70850128914924
conif;h;3.38888888888889;28;3.23572886851279
conif;n;3.29230769230769;39;3.56632390304455
decid;h;2.88888888888889;31;3.3372176562926
decid;n;3.24096385542169;52;3.84266892521111
decid;h;3.27906976744186;32;3.36549887855421
decid;n;3.16455696202532;49;3.77739483488648
decid;h;3.33333333333333;35;3.46985714126058
decid;n;3.20689655172414;52;3.85449039665441
decid;h;3.23333333333333;25;3.11323129869344
decid;n;3.24705882352941;57;3.94091598345537
decid;h;3.19047619047619;38;3.56884739588408
decid;n;3.23255813953488;56;3.9219459269683
decid;h;3.3030303030303;25;3.11632498280021
decid;n;2.83636363636364;33;3.42228500139826
decid;h;3.45454545454545;27;3.20796007754347
decid;n;3.32467532467532;49;3.80679079801932
decid;h;3.30434782608696;37;3.53204274250595
decid;n;3.07547169811321;61;4.03367331837198
decid;h;2.78048780487805;27;3.21289989368345
decid;n;3.29113924050633;51;3.82657490689359
decid;h;3.30952380952381;32;3.38544735268181
decid;n;3.41237113402062;62;4.02895669900643
