rok;surv;ph;light;cover;stand_type;plot;blok
2015;0;4.15;0.038;20.5;So-Jw;5_8;5
2015;1;4.15;0.038;20.5;So-Jw;5_8;5
2015;0;4.15;0.038;20.5;So-Jw;5_8;5
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2016;0;3.68;0.032;53;Dbcz;1_1;1
2016;0;3.67;0.033625;43.5;Dbcz;2_1;2
2016;0;3.67;0.033625;43.5;Dbcz;2_2;2
2015;0;3.67;0.033625;31.5;Dbcz;2_1;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2016;0;3.68;0.032;53;Dbcz;1_1;1
2016;1;3.67;0.033625;43.5;Dbcz;2_1;2
2016;0;3.67;0.033625;43.5;Dbcz;2_2;2
2015;0;3.67;0.033625;31.5;Dbcz;2_1;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2016;0;3.68;0.032;53;Dbcz;1_1;1
2016;0;3.67;0.033625;43.5;Dbcz;2_1;2
2016;0;3.67;0.033625;43.5;Dbcz;2_2;2
2017;0;4.62;0.027625;29.5;Dbcz;9_1;9
2015;0;3.67;0.033625;31.5;Dbcz;2_1;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2016;0;3.68;0.032;53;Dbcz;1_1;1
2016;0;3.67;0.033625;43.5;Dbcz;2_1;2
2017;0;4.62;0.027625;29.5;Dbcz;9_1;9
2015;0;3.67;0.033625;31.5;Dbcz;2_1;2
2015;0;3.67;0.033625;31.5;Dbcz;2_2;2
2015;0;4.42;0.014375;17.5;Dbcz;4_1;4
2016;0;3.68;0.032;53;Dbcz;1_1;1
2016;0;3.67;0.033625;43.5;Dbcz;2_1;2
2016;0;3.67;0.033625;43.5;Dbcz;2_2;2
2016;1;4.03;0.059;38;So-Czam;6_7;6
2017;0;4.62;0.027625;29.5;Dbcz;9_1;9
2015;0;3.67;0.033625;31.5;Dbcz;2_1;2
