Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Acer campestre;ap;que fag;0;5;6;4;5;7;6;-1.912;0.246;-0.845;0.087;13.42142857;360.5;184.2079463;4741.5;14.66666667;Phanerophyte;54.34828235;1548.5;ssv (mostly by seed, rarely vegetatively);c
Acer ginnala;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phanerophyte;NA;NA;s (by seed/by spore);c
Acer negundo;kn;0;0;5;6;6;6;7;7;-1.525;0.336;-0.917;0.27;11.5;NA;NA;NA;25.1;Phanerophyte;41.211;NA;sv (by seed and vegetatively);c
Acer platanoides;ap;que fag;0;4;6;4;NA;NA;NA;-1.963;0.231;-0.745;0.057;26.25;274;NA;5193.766667;19.65537759;Phanerophyte;100.828;1;s (by seed/by spore);c
Acer pseudoplatanus;ap;que fag;0;4;NA;4;6;NA;7;-1.969;0.229;-0.735;0.052;27.33333333;262.5;NA;8365.175;16.75613251;Phanerophyte;69.2004;3407;s (by seed/by spore);c
Achillea millefolium;ap;mol arr;0;8;NA;NA;4;NA;5;-0.612;0.451;-0.247;0.47;0.3955;185.5;21.76333333;411;19.30187424;Hemicryptophyte;0.131833333;4969.69375;sv (by seed and vegetatively);c
Achillea nobilis;ap;art vul;0;8;7;7;4;8;1;NA;NA;NA;NA;0.4;NA;NA;NA;NA;Hemicryptophyte;0.063333333;NA;sv (by seed and vegetatively);cs
Adoxa moschatellina;sp;que fag;1;5;NA;5;6;7;8;-1.938;0.261;-0.705;0.1;0.07;136.6666667;49.84635706;1903.666667;38.45;Geophyte;0.629;276.7;vvs (mostly vegetatively, rarely by seed);csr
Aegopodium podagraria;ap;art vul;1;5;5;3;6;7;8;-1.519;0.394;-0.57;0.347;0.558333333;230;753.5581651;13500.242;28.83537879;Geophyte;1.680933333;2131.954054;vvs (mostly vegetatively, rarely by seed);c
Aesculus hippocastanum;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;251.5;NA;6528.7;13.7;Phanerophyte;7708.65;NA;s (by seed/by spore);c
Agrimonia eupatoria;ap;tri ger;0;7;6;4;4;8;4;-0.622;0.251;-0.404;0.274;0.333333333;339.5;494.5374473;8461;18.8175;Hemicryptophyte;14.178;43.2;s (by seed/by spore);c
Agrostis capillaris;ap;cal uli;0;7;NA;3;NA;4;4;-0.999;0.351;-0.37;0.361;0.25;259.6675;10.18646216;335.6666667;35.03646589;Hemicryptophyte;0.0641;24993.99167;sv (by seed and vegetatively);csr
Alliaria petiolata;ap;art vul;0;5;6;3;5;7;9;-1.73;0.344;-0.779;0.247;0.45;161.3333333;213.9370109;7514;40.83285714;Hemicryptophyte;2.348;9887.305556;s (by seed/by spore);cr
Allium oleraceum;ap;fes bro;0;7;6;4;3;7;4;-1.058;0.286;-0.708;0.287;0.225;150;145.6422472;1224;11.8;Geophyte;11.36966667;22.2;vvs (mostly vegetatively, rarely by seed);csr
Allium schoenoprasum;kn;0;0;7;NA;7;NA;7;2;-0.71;0.191;-0.71;0.239;0.32;170.58;93.455;556;8.753333333;Geophyte;0.9109;2259.727273;sv (by seed and vegetatively);csr
Allium scorodoprasum;kn;0;0;6;6;5;7;7;7;-1.135;0.39;-0.546;0.384;0.55;207.7;146.09;670.5;4.75;Geophyte;43.1704;40.5;vvs (mostly vegetatively, rarely by seed);csr
Alnus glutinosa;ap;aln;0;5;5;3;9;6;NA;-1.852;0.261;-0.825;0.116;14.33333333;248;NA;3462.95;14.86498708;Phanerophyte;2.3111;NA;ssv (mostly by seed, rarely vegetatively);c
Amelanchier spicata;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;NA;NA;NA;19.60784314;Phanerophyte;NA;NA;ssv (mostly by seed, rarely vegetatively);c
Angelica sylvestris;ap;mol arr;0;7;NA;4;8;NA;4;-1.011;0.291;-0.406;0.299;0.783333333;220;1531.2;40902;26.93231906;Hemicryptophyte;2.421444444;11950.092;s (by seed/by spore);c
Anthericum ramosum;sp;que fag;0;7;5;4;3;7;3;-1.627;0.213;-0.559;0.156;0.2875;161.45;76.94;1733.5;23.49;Hemicryptophyte;4.244;64.3;sv (by seed and vegetatively);csr
Anthoxanthum odoratum;ap;0;0;NA;NA;NA;NA;5;NA;-0.711;0.262;-0.387;0.288;0.165;258.75;2.31;NA;29.91111689;Hemicryptophyte;0.62875;8793.390668;sv (by seed and vegetatively);csr
Anthriscus sylvestris;ap;art vul;0;7;NA;5;5;NA;8;-1.02;0.445;-0.64;0.44;0.733333333;207;891.0798085;22864;31.19209586;Hemicryptophyte;4.304266667;4131.984524;ssv (mostly by seed, rarely vegetatively);c
Arctium minus;ap;art vul;0;9;5;3;5;NA;8;-0.8;0.571;-0.712;0.565;0.7;177.3333333;4104.936905;117000;24.06666667;Hemicryptophyte;12.03975238;8118;s (by seed/by spore);c
