kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Acer campestre;5;6;4;5;7;6;13.42142857;360.5;184.2079463;4741.5;14.66666667;perennials;54.34828235;1548.5;c (competitors);insect;Que-Fag;Aceraceae
nie;Acer negundo;5;6;6;6;7;7;11.5;NA;NA;NA;25.1;perennials;41.211;NA;c (competitors);wind;0;Aceraceae
nie;Acer platanoides;4;6;4;NA;NA;NA;26.25;274;NA;5193.766667;19.65537759;perennials;100.828;1;c (competitors);insect;Que-Fag;Aceraceae
nie;Acer pseudoplatanus;4;NA;4;6;NA;7;27.33333333;262.5;NA;8365.175;16.75613251;perennials;69.2004;3407;c (competitors);insect;Que-Fag;Aceraceae
wysoka;Achillea cartilaginea;8;6;6;8;7;6;0.625;204.56;22.26;472.75;22.42;perennials;0.241666667;15070.5;cs (competitors/stress-tolerators);insect;Art vul;Asteraceae
nie;Achillea millefolium;8;NA;NA;4;NA;5;0.3955;185.5;21.76333333;411;19.30187424;perennials;0.131833333;4969.69375;c (competitors);insect;Mol-Arr;Asteraceae
nie;Achillea pannonica;7;7;6;3;6;2;0.45;333.985;89.815;567.835;8.115;perennials;0.138;544.2;cs (competitors/stress-tolerators);insect;Fes-Bro;Asteraceae
niska;Achillea ptarmica;8;6;3;8;4;2;0.775;213;5.617766497;119;16.48330749;perennials;0.282766667;3500.395833;cs (competitors/stress-tolerators);insect;Mol-Arr;Asteraceae
nie;Acinos arvensis;9;6;3;2;5;1;0.2;235.3025;8.041592735;254.7425;19.2375;mixed;0.615533333;342;csr (competitors/stress-tolerators/ruderals);insect;Fes-Bro;Lamiaceae
nie;Acorus calamus;8;6;5;10;7;7;0.9;246.655;755.29;10067.375;25.575;perennials;1.5185;0;cs (competitors/stress-tolerators);NA;Phr aus;Araceae
niska;Adonis aestivalis;6;6;7;3;8;3;0.325;120.2;4.6;193.5;42.07;mixed;11.522;73.4;sr (stress-tolerators/ruderals);selfing;Ste med;Asteraceae
niska;Adoxa moschatellina;5;NA;5;6;7;8;0.07;136.6666667;49.84635706;1903.666667;38.45;perennials;0.629;276.7;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Adoxaceae
nie;Aegopodium podagraria;5;5;3;6;7;8;0.558333333;230;753.5581651;13500.242;28.83537879;perennials;1.680933333;2131.954054;c (competitors);insect;Art vul;Apiaceae
nie;Aesculus hippocastanum;NA;NA;NA;NA;NA;NA;20;251.5;NA;6528.7;13.7;perennials;7708.65;NA;c (competitors);insect;0;Hippocastanaceae
nie;Aethusa cynapium;NA;NA;NA;NA;NA;NA;0.441666667;193.55;118.208578;3207.7575;32.778;mixed;1.69492;19202.25;cr (competitors/ruderals);selfing;Art vul;Apiaceae
nie;Agrimonia eupatoria;7;6;4;4;8;4;0.333333333;339.5;494.5374473;8461;18.8175;perennials;14.178;43.2;c (competitors);selfing;Tri-Ger;Rosaceae
wysoka;Agrimonia procera;5;6;3;5;6;4;0.95;313.4433333;641.8874022;12416.05667;19.52333333;perennials;19.86;843.7179487;cs (competitors/stress-tolerators);selfing;Tri-Ger;Rosaceae
nie;Agrostemma githago;7;NA;NA;NA;NA;NA;0.66;204.54;57.225;999.75;17.75;mixed;14.554875;973.5555556;cr (competitors/ruderals);selfing;Ste med;Caryophyllaceae
wysoka;Agrostis canina;9;5;5;9;3;2;0.3;281.985;1.950036232;67;27.43289386;perennials;0.055485714;385148;csr (competitors/stress-tolerators/ruderals);wind;Sch-Car;Poaceae
nie;Agrostis capillaris;7;NA;3;NA;4;4;0.25;259.6675;10.18646216;335.6666667;35.03646589;perennials;0.0641;24993.99167;csr (competitors/stress-tolerators/ruderals);wind;Cal-Uli;Poaceae
nie;Agrostis gigantea;7;5;3;8;7;6;0.975;241.17;9.945;304.5;22.929;perennials;0.079942857;251.6818182;c (competitors);wind;Mol-Arr;Poaceae
nie;Agrostis stolonifera;8;NA;5;7;NA;5;NA;273.305;9.408257568;365.6666667;31.39698575;perennials;0.047775;62463.25;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Poaceae
niska;Agrostis vinealis;9;7;3;2;2;1;0.11;333.655;10.35444175;373.875;19.87333333;perennials;0.062906667;68.5;csr (competitors/stress-tolerators/ruderals);wind;Koe-Cor;Poaceae
nie;Ailanthus altissima;8;8;2;5;7;8;25.33333333;NA;NA;NA;17.78;perennials;33.58;NA;c (competitors);insect;0;Simaroubaceae
wysoka;Ajuga genevensis;8;NA;NA;3;7;2;0.185;145.56;17.99;368.5;25.825;perennials;1.754;11512.39394;csr (competitors/stress-tolerators/ruderals);selfing;Fes-Bro;Lamiaceae
niska;Ajuga reptans;6;NA;2;6;6;6;0.161666667;153;17.36967841;556;35.54;perennials;1.46519;2478.833333;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Lamiaceae
nie;Alcea rosea;NA;NA;NA;NA;NA;NA;1.57;202.64;615;8249;14.45;perennials;8.942666667;3611.333333;c (competitors);selfing;0;Malvaceae
wysoka;Alchemilla monticola;6;NA;5;5;6;4;0.2575;227.44;135.78;2594.75;17.34;perennials;0.5004;18604.33333;csr (competitors/stress-tolerators/ruderals);NA;Mol-Arr;Rosaceae
wysoka;Alchemilla plicata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;perennials;NA;NA;csr (competitors/stress-tolerators/ruderals);NA;Mol-Arr;Rosaceae
wysoka;Alisma lanceolatum;7;7;2;10;7;5;0.275;118.25;64.36555556;1774.8;28.33266851;perennials;0.3843;NA;csr (competitors/stress-tolerators/ruderals);wind;Phr aus;Alismataceae
nie;Alisma plantago-aquatica;7;5;NA;10;NA;8;0.325;135.03;516.2592523;11979.41667;29.7225;perennials;0.382625;26542.05;csr (competitors/stress-tolerators/ruderals);wind;Phr aus;Alismaceae
nie;Alliaria petiolata;5;6;3;5;7;9;0.45;161.3333333;213.9370109;7514;40.83285714;mixed;2.348;9887.305556;cr (competitors/ruderals);selfing;Art vul;Brassicaceae
nie;Allium oleraceum;7;6;4;3;7;4;0.225;150;145.6422472;1224;11.8;perennials;11.36966667;22.2;csr (competitors/stress-tolerators/ruderals);insect;Fes-Bro;Liliaceae
nie;Allium schoenoprasum;7;NA;7;NA;7;2;0.32;170.58;93.455;556;8.753333333;perennials;0.9109;2259.727273;csr (competitors/stress-tolerators/ruderals);selfing;0;Liliaceae
nie;Allium scorodoprasum;6;6;5;7;7;7;0.55;207.7;146.09;670.5;4.75;perennials;43.1704;40.5;csr (competitors/stress-tolerators/ruderals);insect;0;Liliaceae
nie;Allium vineale;5;7;3;4;NA;7;0.25;170.5;101.1660297;1195;18.7;mixed;7.504;NA;c (competitors);insect;0;Liliaceae
nie;Alnus glutinosa;5;5;3;9;6;NA;14.33333333;248;NA;3462.95;14.86498708;perennials;2.3111;NA;c (competitors);wind;Aln glu;Betulaceae
niska;Alnus incana;6;4;5;7;8;NA;14;213.84;91.47;2723.31;20.29299387;perennials;0.55;NA;c (competitors);wind;Que-Fag;Betulaceae
wysoka;Alopecurus aequalis;9;NA;5;9;NA;9;0.14;177.76;13.2;341.75;24.79;mixed;0.17425;1802.333333;sr (stress-tolerators/ruderals);wind;Bid tri;Poaceae
nie;Alopecurus geniculatus;9;6;3;8;7;7;0.2;211.945;8.85085034;260.25;27.6008592;perennials;0.340942857;NA;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Poaceae
nie;Alopecurus pratensis;6;NA;5;6;6;7;0.45;308.06;43.4306142;1088.125;25.00554925;perennials;0.658;45361.375;c (competitors);wind;Mol-Arr;Poaceae
nie;Alyssum alyssoides;9;6;4;3;8;1;0.11125;207.375;1.125;23.875;21.385;mixed;0.565714286;7367.170455;sr (stress-tolerators/ruderals);selfing;Fes-Bro;Brassicaceae
nie;Amaranthus albus;8;8;6;2;NA;7;0.3;NA;NA;NA;NA;annuals;0.3474;500;sr (stress-tolerators/ruderals);wind;Ste med;Amaranthaceae
nie;Amaranthus blitoides;9;7;6;3;NA;8;0.325;NA;NA;NA;18.14034279;annuals;1.1409;NA;cr (competitors/ruderals);wind;Ste med;Amaranthaceae
nie;Amaranthus caudatus;NA;NA;NA;NA;NA;NA;0.715;174.74;200.505;4117.22;19.67;annuals;0.669;7057.863636;cr (competitors/ruderals);wind;0;Amaranthaceae
nie;Amaranthus chlorostachys;8;7;5;4;8;6;0.55;NA;NA;NA;NA;NA;0.5518;NA;cr (competitors/ruderals);wind;Ste med;Amaranthaceae
nie;Amaranthus lividus;8;7;3;4;NA;8;0.425;87.88;4.355;274.0875;35.86;annuals;0.6118;1338.208333;cr (competitors/ruderals);wind;Ste med;Amaranthaceae
nie;Amaranthus retroflexus;8;7;6;4;7;7;0.451666667;222.8025;265.49;3602.75;16.15712079;annuals;0.462666667;15067.89286;cr (competitors/ruderals);wind;Ste med;Amaranthaceae
nie;Ambrosia artemisiifolia;9;7;NA;4;8;6;1.095;152.52;125.905;3877;22.81;annuals;NA;10857.61538;cr (competitors/ruderals);wind;0;Asteraceae
nie;Anagallis arvensis;6;6;3;5;NA;6;0.12875;142;2.7625;104;29.21666667;mixed;0.49056;30795.42857;r (ruderals);selfing;Ste med;Primulaceae
nie;Anchusa arvensis;7;6;6;4;NA;4;0.2;116.5;106.8357018;1779;16.525;mixed;4.529666667;6035.666667;cr (competitors/ruderals);selfing;Ste med;Boraginaceae
nie;Anchusa officinalis;9;7;5;3;7;5;0.475;115.445;62.31666667;1376.625;22.925;perennials;5.8;615.1428571;cs (competitors/stress-tolerators);selfing;Art vul;Boraginaceae
nie;Androsaceae septentrionalis;8;7;7;2;5;2;0.0125;178.62;1.06;27;24.53;mixed;0.216;60;sr (stress-tolerators/ruderals);selfing;Koe-Cor;Primulaceae
nie;Anemone nemorosa;NA;NA;3;5;NA;NA;0.138333333;205;123.8710231;3003;27.7125;perennials;2.1444;2151.730894;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Ranunculaceae
nie;Anemone ranunculoides;3;6;4;6;8;8;0.135;184.66;19.7575;1424.13;36.525;perennials;1.74375;17.73571429;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Ranunculaceae
nie;Anethum graveolens;NA;NA;NA;NA;NA;NA;0.61;156.155;47.0125;781.265;18.465;annuals;1.574;782.7777778;cr (competitors/ruderals);selfing;0;Apiaceae
nie;Angelica archangelica;7;6;5;9;NA;9;0.758333333;225.4733333;5538.883333;65794.29667;19.34666667;mixed;4.097625;6006.428571;cs (competitors/stress-tolerators);insect;Art vul;Apiaceae
nie;Angelica palustris;7;6;6;8;NA;NA;0.6;NA;NA;NA;NA;perennials;NA;NA;cs (competitors/stress-tolerators);insect;Mol-Arr;Apiaceae
niska;Angelica sylvestris;7;NA;4;8;NA;4;0.783333333;220;1531.2;40902;26.93231906;perennials;2.421444444;11950.092;c (competitors);insect;Mol-Arr;Apiaceae
