bio1_16;bio2_16;bio3_16;bio4_16;bio5_16;bio6_16;bio7_16;bio8_16;bio9_16;bio10_16;bio11_16;bio12_16;bio13_16;bio14_16;bio15_16;bio16_16;bio17_16;bio18_16;bio19_16;osmunda
80;89;31;6906;227;-53;281;165;-1;165;-12;582.5;85;26;44;243;81;243;85;0
80;71;25;7614;227;-57;284;174;-11;174;-23;600;73;29;24;196;103;196;118;0
76;83;26;8004;233;-77;310;173;-20;173;-34;557;81;25;41;225;79;225;85;0
82;87;30;7168;234;-52;286;172;-2;172;-13;614;84;30;37;239;95;239;104;0
83;79;28;7181.5;231;-49;280;172;-2;172;-14;604;73;32;27;212;104;212;118;0
83;80;27;7575;237;-57;293;177;-6;177;-19;552;73;27;29;197;91;197;103;0
68;90;29;7498;223;-81;304;159;-21;159;-34;912;134;43;40;367;135;367;142;0
74;83;26;8325;235;-83;318;173;-28;173;-41;533;74;24;39;212;75;212;83;0
73;84;26;8078;240;-74;314;177;-26;177;-30;549;78;27;37;217;86;217;96;0
82;66;23;7724;228;-54;282;170.5;26;177;-21;661.5;79;33;26;224;107;210;134;0
73;82;25;8498;239;-83;322;177;-31;177;-42;520;70;23;37;201;73;201;82;0
79;85;28;7638;230;-69;299;171;-11;171;-27;636;90;29;39;254;95;254;100;0
75;82;26;8248.5;239;-74;313;177;-25;177;-35;507;70;23;38;197;71;197;80;0
68;79;24;8615;232;-88;319;172;-38;172;-49;626;79;28;31;225;96;225;111;0
67;80;24;8615;233;-89;322;172;-39;172;-49;595;77;27;32;219;90;219;102;0
90;79;26;7610;244;-49;293;184;-1;184;-13;544;70;28;27;190;94;190;109;0
79;72;25;7566;225;-58;284;172;26;172;-24;628;78;30;26;210;106;210;123;0
74;83;26;7974;231;-79;309;170;-22;170;-36;570;83;26;41;231;82;231;88;0
74;82;25;8468;240;-78;318.5;178;-29;178;-39;520;71;24;36;200;73;200;84;0
71;85;27;8010;227;-87;314;166;-27;166;-41;630;92;28;41;257;92;257;98;0
78;67;24;7478.5;224;-52;275.5;165;23;172;-20;659;78;32;29;220;101;218;131;0
90;78;27;7379;241;-42;283;182;4;182;-8;557;69;30;26;193;96;193;111;0
74;85;27;8017;231;-81;312;170;-23;170;-36;576;83;26;41;233;81;233;86;0
76;72;24;7878;229;-65;294;173;21;173;-29;673;79;35;28;229;105;229;130;0
75;73;25;7527.5;222;-61;284;168;23;168;-26;643;81;31;26;219;107;219;126;0
85;78;26;7647;238;-55;293;179;-5;179;-19;559;73;28;28;198;93;198;107;0
75;82;26;7934;233;-72;305;171.5;-20;172;-32;597;83;29;36;226;93;226;97;0
72;73;24;8056;226;-74;299;170;17;170;-38;643;83;31;28;223;104;223;126;0
73;84;26;8248.5;233;-86;318;171;-28;171;-41;566;81;25;41;228;80;228;85;0
69;78;24;8689;233;-91;323;173;-38;173;-50;640;79;29;31;229;98;229;114;0
84;86;28;7691;243;-59;302;179;-7;179;-20;512;73;23;37;198;75;198;85;0
71;80;24;8820;238;-90;328;177;-37;177;-49;595;76;27;32;218;89;218;103;0
78;83;26;8182.5;238;-76;314;176;-20;176;-36;567;82;26;37;222;86;222;93;0
78;82;27;7679.5;235;-63;298;173;-13;173;-25;540;76;24;35;205;81;205;94;0
60;95;31;7365;214;-91;305;150;-27;150;-40;798.5;123;33;46;337.5;106;337.5;110;0
66;83;27;7975;224.5;-80;304;164;-31;164;-40;579;77;26;32;213;91;213;100;0
70;73;25;7773;221;-71;291;164;16;164;-35;607;80;28;31;218;93;218;113;0
76;85;27;7898;232;-77;308;171;-19;171;-32;578;83;26;41;234;81;234;86;0
84;89;31;7016;235;-48;283;173;2;173;-8;589.5;81;29;38;231;89;231;97;0
74;83;26;8309.5;237;-80;317;174;-27;174;-39;523;72;24;38;206;74;206;82;0
84;67;24;7459;226;-48;274;170;28;176;-15;660;81;31;27;224;105;215;130;0
82;87;29;7356;236;-56;292;174;-4;174;-16;531;75;25;36;205;80;205;88;0
70;80;24;8891;239;-90;329;178;-39;178;-51;603;77;27;32;220;90;220;105;0
76;84;26;8266;236;-85;321;174;-24;174;-39;604;88;27;41;245;86;245;93;0
65;81;26;8028;223;-80;303;164;-33;164;-42;588;78;25;33;219;89;219;98;0
69;79;24;8865;236;-91;327;176;-40;176;-51;627;79;28;31;226;95;226;111;0
83;89;30;7297;235;-59;294;173;-2;173;-16;557;82;24;41;226;77;226;81;0
69;77;24;8329;228;-85;313;169;-32;169;-45.5;637;81;29;32;234.5;99;234.5;113;0
92;79;27;7493;244;-44;289;184;2;184;-9;545;69;29;26;189;95;189;109;0
85;84;27;7803;242;-61;303;180;-8;180;-22;548;79;26;38;215;83;215;91;0
82;87;30;7184.5;234;-54;287;172;-3;172;-14;562;79;27;37;219;85;219;93;0
85;86;28;7629;242;-58;300;179;-6;179;-18;518;73;24;36;200;76.5;200;85;0
79;83;27;7878;237;-63;301;176;-16;176;-25;496;70;22;38;194;69;194;76;0
73;85;27;8082;234;-79;314;172;-24;172;-36;539;76;22;37;208;79;208;79;0
84;86;29;7500;240;-56;296;177;-4;177;-16;512;73;23;36;196;77;196;86;0
80;79;26;7602;235;-60;295;175;-9;175;-23;560;74;27;29;199;94;199;107;0
81;84;28;7610;238;-60;298;176;-9;176;-21;524;74;24;35;200;79;200;90;0
86;81;27;7562;239;-55;294;179;-3;179;-17;544;72;27;30;198;88;198;100;0
74;81;25;8253;235;-77;312;175;-25;175;-38;534;74;24;36;206;78;206;87;0
89;72;26;7141;230;-38;268;178;4;178;-5;542;62;28;21;175;99;175;109;0
83;84;29;7347.5;236;-53;289;174;-3;174;-15;525;73;25;33;195;83;195;93;0
70;80;25;8403.5;231;-84;316;172;-32;172;-45;568;76;26;34;215;84;215;96;0
79;88;31;6900;226;-54;280;164;-2;164;-13;580;85;24;46;248;76;248;78;0
75;83;27;7848;232;-71;303;171;-19;171;-31;535;76;24;38;211;77;211;83;0
86;85;26;8158;250;-66;316;185;-12;185;-26;516;75;23;37;202;76;202;85;0
77;84;26;8194;236;-81;317;175;-22;175;-36;569;83;26;41;232;80;232;86;0
81;84;26;8170;245;-70;314;181;-17;181;-30;531;76;24;37;207;80;207;89;0
78;88;31;6896;225;-55;280;163;-3;163;-15;582;85;24;47;249;75;249;77;0
74;74;24;8062.5;229;-72;301;172;20;172;-35;656.5;80;33;30;232;103;232;122;0
71;76;26;7667;223;-67;290;166;19;166;-32;580;78;26;33;215;88;215;104;0
71;83;26;7971;226;-83;310;166;-25;166;-40;602;87;27;40;241;89;241;94;0
