Plot ID;type;N;E;Soil type;Age;dens;G;Hg;V;AB;BR;FL;ST
Forest - 183d;forest;51.3192;17.2899;Albic Brunic Arenosol;3;6179;0;1.014;1.232;2.473;0.8369;1.4641;0.4621
Forest - 91c;forest;53.9168;17.5828;Albic Podzols;3;10000;0;0.517;0.135;0.2778;0.0535;0.1284;0.0857
Forest - 93c;forest;53.9161;17.5721;Albic Podzols;3;10900;0;0.334;0.057;0.1738;0.038;0.1435;0.057
Forest - 98b - 1;forest;51.7522;16.0096;Albic Brunic Arenosol;3;8172;0;0.763;0.946;1.8986;0.4293;1.1223;0.347
Forest - 98b - 2;forest;51.7523;16.0097;Albic Brunic Arenosol;3;8172;0;0.763;0.94;1.8986;0.4293;1.1223;0.347
Forest - 146g - 1;forest;52.0138;17.9506;Gleyic Podzol;4;9793;0.01;1.068;1.867;6.2242;1.4265;5.0259;0.9284
Forest - 146g - 2;forest;52.0135;17.9503;Gleyic Podzol;4;9601;0.02;1.083;2.009;6.0731;1.4533;4.8467;0.9511
Forest - 102c;forest;51.3567;17.335;Albic Brunic Arenosol;5;6132;1.97;2.273;8.458;7.7371;2.339;2.4233;3.03
Forest - 106c - 1;forest;51.8821;18.3265;Haplic Podzol;5;11453;1.11;1.77;6.614;8.3944;3.0444;3.434;2.5505
Forest - 106c - 2;forest;51.8814;18.3257;Haplic Podzol;5;10645;0.93;1.741;5.276;6.3926;2.3294;2.6568;2.0042
Forest - 246d - 1;forest;51.6532;18.2409;Haplic Podzol;5;10102;0.63;1.615;4.555;5.3482;1.5793;2.2437;1.7118
Forest - 246d - 2;forest;51.6498;18.2426;Haplic Podzol;5;11726;0.69;1.523;4.764;5.3912;1.0871;2.283;1.7669
Forest - 40j;forest;53.9258;17.5941;Albic Podzols;5;8150;0.29;1.465;4.215;4.1626;0.9571;2.0244;1.0639
Forest - 56h;forest;51.7687;16.0134;Haplic Podzol;5;6833;0.72;1.718;4,36;8.4915;7.3625;3.6644;1.7699
Forest - 69g;forest;53.9191;17.5807;Albic Podzols;5;7450;0.54;1.655;2.869;3.2399;1.6547;1.9202;1.083
Forest - 107k;forest;53.0141;14.3565;Cambic Arenosols;szeϾ;12333;1.88;1.969;8.571;11.948;3.9736;3.9848;3.9229
Forest - 222g - 1;forest;51.9874;18.0805;Umbric Gleyic Podzols;6;8418;1.48;1.852;6.178;7.8874;2.0909;3.2513;2.606
Forest - 222g - 2;forest;51.9859;18.0799;Umbric Gleyic Podzols;6;8364;0.77;1.761;4.227;6.5178;1.8709;2.8446;1.8938
Forest - 13d;forest;51.3305;17.402;Albic Brunic Arenosol;7;4324;2.11;2.482;7.352;5.3996;1.5526;1.8466;2.7553
Forest - 247k - 1;forest;51.6502;18.2354;Haplic Podzol;7;8839;1.42;2.049;5.832;5.8886;1.6123;1.8118;2.2244
Forest - 247k - 2;forest;51.6484;18.2356;Haplic Podzol;7;8756;0.94;1.822;4.274;4.0728;1.1123;1.3598;1.5389
Forest - 46f - 1;forest;51.9351;18.2571;Haplic Podzol;7;7519;1.37;1.96;7.109;7.5231;2.7266;2.4747;2.8411
Forest - 46f - 2;forest;51.9345;18.2569;Haplic Podzol;7;7351;1.77;1.985;7.905;8.4728;3.1094;2.7684;3.1996
Forest - 128g;forest;52.9949;14.3568;Albic Brunic Arenosol;8;4117;2.25;2.485;9.733;7.9527;1.9982;2.5257;3.6314
Forest - 144f - 1;forest;52.0204;17.9566;Haplic Podzol;8;8868;3.23;2.622;10.11;9.942;2.7685;3.0797;4.0723
Forest - 144f - 2;forest;52.0199;17.9587;Haplic Podzol;8;10277;3.37;2.475;9.371;9.3961;2.5717;2.8629;3.9074
Forest - 156d;forest;53.8967;17.5779;Albic Podzols;8;8707;2.54;2.106;10.27;6.9883;2.1065;2.1072;2.9953
Forest - 156i;forest;53.8946;17.5783;Albic Podzols;8;7600;3.24;2.597;11.198;10.2061;2.8086;2.8316;4.4037
Forest - 644g;forest;53.2556;16.3399;Albic Brunic Arenosol;8;14000;0;1.824;10.384;7.0677;1.8415;2.9627;2.217
Forest - 8c;forest;51.833;19.9185;Haplic Luvisols;8;5794;3.7;2.89;9.782;8.0945;2.0486;2.4312;3.6166
Forest - 216i - 1;forest;51.9842;18.0948;Haplic Podzol;9;10172;5.98;3.01;17.826;13.8112;3.9556;3.6538;6.2591
Forest - 216i - 2;forest;51.9839;18.0959;Haplic Podzol;9;8615;4.6;2.883;13.353;10.7575;2.9235;2.9003;5.0001
Forest - 111h;forest;51.8785;18.3687;Haplic Podzol;10;5197;14.75;5.864;69.221;57.5928;23.857;11.867;25.0024
Forest - 257g;forest;51.6295;18.2598;Haplic Podzol;10;6055;8.39;4.397;27.062;20.0074;5.5843;4.2702;10.1523
Forest - 339j;forest;51.6076;18.1933;Haplic Podzol;10;5910;14.57;4.929;49.765;40.5104;13.1713;8.6554;19.0395
Forest - 349h;forest;51.5934;18.2111;Haplic Podzol;10;5964;16.22;5.432;64.616;53.8862;20.047;11.3345;24.1615
Forest - 40i;forest;53.9257;17.5948;Albic Podzols;10;7450;3.33;2.934;12.365;9.7757;2.4397;3.019;4.2548
Forest - 77j;forest;53.0446;14.3402;Haplic Brunic Arenosol;10;9100;8.97;3.28;37.177;24.4659;7.9587;5.2562;12.4046
Forest - 93f;forest;53.9117;17.5751;Albic Podzols;10;6800;4.31;3.429;14.133;10.7612;2.9369;3.9315;6.5014
Forest - 111a-1;forest;51.8798;18.3691;Haplic Podzol;12;5773;20.19;6.407;91.049;53.8499;12.788;9.3088;31.9332
Forest - 247j;forest;51.6486;18.2372;Haplic Podzol;12;9751;12.12;4.795;41.644;26.4158;5.4164;4.8065;16.345
Forest - 266c;forest;51.6176;18.2696;Haplic Podzol;12;4412;11.57;5.793;47.313;28.3375;6.4376;4.9463;16.9394
Forest - 97a;forest;53.9419;17.1631;Albic Brunic Arenosol;14;6267;7.22;3.821;25.197;15.4673;4.0913;4.3057;7.1338
Forest - 111b;forest;53.9102;17.5896;Albic Podzols;15;7950;15.21;5.275;45.956;30.2025;5.2046;3.978;15.7576
Forest - 265d;forest;51.6191;18.2715;Haplic Podzol;15;4541;18.62;7.193;77.84;46.8006;10.4859;6.1611;30.0023
Forest - 361k;forest;51.5902;18.2535;Haplic Podzol;15;3863;15.26;7.151;62.819;37.9239;8.4668;5.0121;24.2267
Forest - 40h;forest;53.9258;17.5957;Albic Podzols;15;6150;12.38;4.958;43.184;22.9312;2.8765;3.7905;14.6043
Forest - 82n;forest;51.9132;18.3088;Haplic Podzol;15;4125;18.89;7.43;79.274;48.4245;11.2649;6.3664;30.6478
Forest - 111a-2;forest;53.9106;17.5913;Albic Podzols;19;5950;26.36;7.903;107.52;51.7615;7.0377;5.3993;39.7412
Forest - 40c;forest;53.9291;17.5932;Albic Podzols;19;5250;17.68;6.571;65.208;33.5205;3.9856;3.3596;26.2255
Post-agricultural - 1 - 1;postagric;51.3002;19.3972;Albic Brunic Arenosol;6;11960;2.23;1.968;7.135;8.0375;2.4094;0.7186;3.0052
Post-agricultural - 1 - 2;postagric;51.2997;19.3973;Albic Brunic Arenosol;6;13360;1.35;1.758;5.315;6.5507;0.943;2.5956;2.3597
Post-agricultural - 2 - 1;postagric;51.3053;19.4263;Haplic Brunic Arenosol;10;3700;13.67;4.702;42.658;37.2202;13.2792;7.501;16.0517
Post-agricultural - 2 - 2;postagric;51.2352;19.4537;Albic Brunic Arenosol;10;4000;14.09;4.641;44.474;37.8316;13.4134;7.5193;16.4942
Post-agricultural - 2 - 3;postagric;51.2349;19.4525;Albic Brunic Arenosol;10;3280;12.42;4.812;38.171;34.7465;12.5673;7.2666;14.6674
Post-agricultural - 3 - 1;postagric;51.215;19.3775;Haplic Brunic Arenosol;16;5360;20.82;7.659;81.823;48.7805;10.1148;6.3456;32.8858
Post-agricultural - 3 - 2;postagric;51.2171;19.3781;Haplic Brunic Arenosol;16;4910;23.28;7.873;90.205;56.3193;12.445;7.4546;36.8062
Spoil heap - 1 - 1;postind;51.2239;19.4076;Spolic Technosols (Protic);6;6000;0.52;1.645;2.584;4.4608;1.5735;2.1475;1.1435
Spoil heap - 1 - 2;postind;51.2213;19.4088;Spolic Technosols (Protic);6;5931;0.81;1.751;3.323;6.1383;2.5813;2.5774;1.4826
Spoil heap - 2 - 1;postind;51.2316;19.3963;Spolic Technosols (Protic);9;5589;3.43;2.894;9.423;8.4687;2.0076;3.0016;3.076
Spoil heap - 2 - 2;postind;51.2297;19.3996;Spolic Technosols (Protic);9;5818;4.63;3.208;11.694;10.7104;2.7812;3.7317;4.0377
Spoil heap - 3 - 1;postind;51.2147;19.4412;Spolic Technosols (Protic);11;5300;3.52;2.876;9.623;11.7229;2.9376;3.8725;3.5165
Spoil heap - 3 - 2;postind;51.2124;19.4409;Spolic Technosols (Protic);11;5060;3.82;3.107;11.328;11.7789;3.0328;3.8398;3.9647
Spoil heap - 4 - 1;postind;51.2181;19.4382;Spolic Technosols (Protic);15;5289;15.92;5.392;40.45;27.7476;5.7338;4.628;17.9285
